Label,date,open,high,low,close,volume
BA,02-01-1962,0.8739,0.8739,0.8588,0.8588,352198
BA,03-01-1962,0.8716,0.8888,0.8716,0.8759,710411
BA,04-01-1962,0.8759,0.891,0.8673,0.8673,911007
BA,05-01-1962,0.8673,0.8716,0.8265,0.8502,880389
BA,08-01-1962,0.8502,0.8653,0.8395,0.8522,473607
BA,09-01-1962,0.8522,0.8739,0.8459,0.8545,576791
BA,10-01-1962,0.8545,0.8694,0.8522,0.8545,352198
BA,11-01-1962,0.8567,0.8825,0.8567,0.863,692398
BA,12-01-1962,0.8716,0.8931,0.8716,0.8866,972000
BA,15-01-1962,0.8825,0.8825,0.8653,0.8694,625391
BA,16-01-1962,0.8694,0.8739,0.863,0.863,376407
BA,17-01-1962,0.863,0.8825,0.863,0.8653,673991
BA,18-01-1962,0.8653,0.878,0.8653,0.8694,710411
BA,19-01-1962,0.8716,0.9103,0.8716,0.9103,1293611
BA,22-01-1962,0.9103,0.9166,0.8974,0.908,1147811
BA,23-01-1962,0.8996,0.9103,0.8974,0.9103,15188
BA,24-01-1962,0.9103,0.9146,0.8974,0.9146,1020600
BA,25-01-1962,0.9146,0.9403,0.9146,0.936,2897411
BA,26-01-1962,0.936,0.9424,0.9252,0.9317,1919609
BA,29-01-1962,0.9317,0.9383,0.9232,0.936,941412
BA,30-01-1962,0.936,0.951,0.9317,0.9446,1749600
BA,31-01-1962,0.9469,0.9661,0.9469,0.964,3383411
BA,01-02-1962,0.964,0.9726,0.936,0.9424,1968209
BA,02-02-1962,0.9424,0.951,0.9232,0.951,1105407
BA,05-02-1962,0.9489,0.9489,0.9317,0.9338,892812
BA,06-02-1962,0.9338,0.936,0.9103,0.9338,801809
BA,07-02-1962,0.9338,0.951,0.9275,0.9338,844212
BA,08-02-1962,0.936,0.951,0.936,0.936,656009
BA,09-02-1962,0.9383,0.9532,0.9383,0.9532,680400
BA,12-02-1962,0.9446,0.9446,0.9338,0.9383,510209
BA,13-02-1962,0.9424,0.9575,0.9424,0.9446,656009
BA,14-02-1962,0.9446,0.9555,0.9424,0.951,540189
BA,15-02-1962,0.9532,0.9661,0.9532,0.9575,916991
BA,16-02-1962,0.9575,0.9618,0.9469,0.9469,510209
BA,19-02-1962,0.9469,0.9555,0.9383,0.9424,619407
BA,20-02-1962,0.9424,0.9555,0.9383,0.9383,479591
BA,21-02-1962,0.9383,0.9424,0.9211,0.9275,400798
BA,23-02-1962,0.9166,0.9166,0.8802,0.8974,1159991
BA,26-02-1962,0.8974,0.9125,0.8866,0.9017,680400
BA,27-02-1962,0.9017,0.9275,0.8952,0.9125,668007
BA,28-02-1962,0.9125,0.9211,0.9125,0.9211,303598
BA,01-03-1962,0.9211,0.9275,0.891,0.9103,722591
BA,02-03-1962,0.9103,0.9189,0.8952,0.9017,583200
BA,05-03-1962,0.8996,0.8996,0.8866,0.8996,418811
BA,06-03-1962,0.8974,0.8974,0.8673,0.8694,868391
BA,07-03-1962,0.8694,0.8802,0.8673,0.8673,625391
BA,08-03-1962,0.8673,0.8931,0.8673,0.8845,595198
BA,09-03-1962,0.8845,0.8952,0.878,0.8802,279207
BA,12-03-1962,0.8825,0.891,0.8825,0.8866,218609
BA,13-03-1962,0.8866,0.8866,0.8759,0.8845,291600
BA,14-03-1962,0.8845,0.8996,0.8802,0.8845,583200
BA,15-03-1962,0.8845,0.8931,0.8716,0.8716,370211
BA,16-03-1962,0.8716,0.8845,0.8673,0.8694,327807
BA,19-03-1962,0.8694,0.8716,0.8522,0.8545,649812
BA,20-03-1962,0.8545,0.863,0.8522,0.8522,588789
BA,21-03-1962,0.8522,0.8567,0.8522,0.8522,528191
BA,22-03-1962,0.8522,0.8694,0.8522,0.8653,340200
BA,23-03-1962,0.8653,0.8716,0.863,0.8653,406812
BA,26-03-1962,0.8653,0.8694,0.863,0.863,273011
BA,27-03-1962,0.863,0.8759,0.8608,0.8694,309612
BA,28-03-1962,0.8694,0.8739,0.8694,0.8716,230607
BA,29-03-1962,0.8739,0.8825,0.8739,0.8759,370211
BA,30-03-1962,0.8759,0.8759,0.8608,0.8608,297189
BA,02-04-1962,0.8608,0.8694,0.8522,0.863,388800
BA,03-04-1962,0.8588,0.8588,0.8265,0.8459,685989
BA,04-04-1962,0.8459,0.8459,0.8223,0.8244,406812
BA,05-04-1962,0.8244,0.833,0.8009,0.833,601212
BA,06-04-1962,0.833,0.8416,0.8265,0.8265,333791
BA,09-04-1962,0.8265,0.8395,0.8115,0.8115,303598
BA,10-04-1962,0.8115,0.8138,0.8072,0.8072,291600
BA,11-04-1962,0.8201,0.8373,0.8201,0.8309,145800
BA,12-04-1962,0.8244,0.8244,0.8009,0.805,364409
BA,13-04-1962,0.805,0.8223,0.7923,0.8179,461609
BA,16-04-1962,0.8179,0.8223,0.8009,0.805,303598
BA,17-04-1962,0.805,0.805,0.7986,0.8029,321611
BA,18-04-1962,0.8029,0.8201,0.8029,0.8115,394389
BA,19-04-1962,0.8115,0.8373,0.8115,0.8309,206398
BA,23-04-1962,0.8309,0.8481,0.8309,0.8481,364409
BA,24-04-1962,0.8481,0.8588,0.8459,0.8459,795612
BA,25-04-1962,0.8459,0.8502,0.8265,0.8351,497998
BA,26-04-1962,0.8351,0.8395,0.8009,0.8029,449398
BA,27-04-1962,0.8029,0.8115,0.7923,0.7964,923400
BA,30-04-1962,0.7964,0.8115,0.7686,0.7729,826200
BA,01-05-1962,0.7729,0.8072,0.7621,0.8072,1220589
BA,02-05-1962,0.8072,0.8179,0.8009,0.8158,1069200
BA,03-05-1962,0.8158,0.8179,0.8115,0.8115,601212
BA,04-05-1962,0.8115,0.8158,0.8029,0.8072,279207
BA,07-05-1962,0.8093,0.8138,0.8093,0.8115,340200
BA,08-05-1962,0.805,0.805,0.7772,0.7772,673991
BA,09-05-1962,0.7772,0.7772,0.7686,0.7706,558809
BA,10-05-1962,0.7706,0.7706,0.7621,0.7706,710411
BA,11-05-1962,0.7706,0.7858,0.7579,0.76,558809
BA,14-05-1962,0.76,0.7621,0.7236,0.7579,1469998
BA,15-05-1962,0.7815,0.805,0.7815,0.7837,972000
BA,16-05-1962,0.7837,0.7923,0.7729,0.7751,680400
BA,17-05-1962,0.7751,0.7837,0.7579,0.7729,899009
BA,18-05-1962,0.7729,0.7729,0.7579,0.7729,315809
BA,21-05-1962,0.7706,0.7706,0.7579,0.76,267209
BA,22-05-1962,0.76,0.7643,0.7363,0.7428,631800
BA,23-05-1962,0.7408,0.7408,0.7107,0.7214,1032598
BA,24-05-1962,0.7128,0.7128,0.6764,0.6935,2022611
BA,25-05-1962,0.6935,0.6999,0.6741,0.6849,1542807
BA,28-05-1962,0.6849,0.7021,0.6054,0.6183,2114009
BA,29-05-1962,0.6183,0.7858,0.6034,0.7021,4215807
BA,31-05-1962,0.7236,0.7815,0.7236,0.7428,3547800
BA,01-06-1962,0.7428,0.7514,0.7214,0.7471,1287809
BA,04-06-1962,0.7256,0.7256,0.6891,0.6913,1494207
BA,05-06-1962,0.6913,0.7342,0.687,0.7277,1664398
BA,06-06-1962,0.7299,0.7535,0.7299,0.7428,886798
BA,07-06-1962,0.7385,0.7385,0.7256,0.7256,649812
BA,08-06-1962,0.7256,0.7342,0.7256,0.7277,340200
BA,11-06-1962,0.7214,0.7214,0.7042,0.7128,698412
BA,12-06-1962,0.7085,0.7085,0.6956,0.6956,795612
BA,13-06-1962,0.6956,0.6999,0.6784,0.6784,1397007
BA,14-06-1962,0.6784,0.6913,0.6527,0.6547,1494207
BA,15-06-1962,0.6547,0.7021,0.6484,0.6999,1876811
BA,18-06-1962,0.6999,0.7214,0.6805,0.7042,801809
BA,19-06-1962,0.7042,0.7107,0.6891,0.6999,467411
BA,20-06-1962,0.6999,0.7171,0.6999,0.7021,449398
BA,21-06-1962,0.6913,0.6913,0.6784,0.6805,795612
BA,22-06-1962,0.6678,0.6678,0.6461,0.6484,1524612
BA,25-06-1962,0.6484,0.6678,0.629,0.6592,1451591
BA,26-06-1962,0.6592,0.6784,0.6547,0.6592,789598
BA,27-06-1962,0.6592,0.6678,0.6547,0.6655,449398
BA,28-06-1962,0.6698,0.7021,0.6698,0.6891,928989
BA,29-06-1962,0.6891,0.7062,0.6891,0.6999,1038612
BA,02-07-1962,0.6999,0.7107,0.6977,0.7062,613211
BA,03-07-1962,0.7062,0.7214,0.7042,0.7191,1014191
BA,05-07-1962,0.7191,0.7299,0.7128,0.7191,685989
BA,06-07-1962,0.7191,0.7191,0.687,0.6935,831789
BA,09-07-1962,0.6935,0.7085,0.687,0.6935,473607
BA,10-07-1962,0.7107,0.7277,0.7107,0.7107,1074789
BA,11-07-1962,0.7107,0.7171,0.7062,0.715,491589
BA,12-07-1962,0.715,0.7236,0.7085,0.7085,801809
BA,13-07-1962,0.7085,0.7171,0.7062,0.7107,400798
BA,16-07-1962,0.7062,0.7062,0.6935,0.6935,522207
BA,17-07-1962,0.6935,0.6977,0.6719,0.6764,668007
BA,18-07-1962,0.6764,0.6784,0.6655,0.6719,601212
