Label,date,open,high,low,close,volume
BAC,29-05-1986,3.1503,3.179,3.1503,3.1721,15736000
BAC,30-05-1986,3.1578,3.1934,3.1578,3.1934,6500800
BAC,02-06-1986,3.179,3.1865,3.1503,3.1647,314400
BAC,03-06-1986,3.1578,3.1934,3.1503,3.1865,154400
BAC,04-06-1986,3.1647,3.1934,3.1434,3.1434,192000
BAC,05-06-1986,3.129,3.1647,3.1215,3.1647,84000
BAC,06-06-1986,3.179,3.1865,3.1503,3.1647,367200
BAC,09-06-1986,3.1721,3.179,3.0927,3.1002,497600
BAC,10-06-1986,3.1146,3.1146,3.0784,3.1002,141600
BAC,11-06-1986,3.1002,3.1002,3.064,3.0858,318400
BAC,12-06-1986,3.0784,3.0784,2.9777,3.0139,348800
BAC,13-06-1986,3.0352,3.1146,3.0352,3.1002,602400
BAC,16-06-1986,3.1002,3.1146,3.0858,3.1071,590400
BAC,17-06-1986,3.0927,3.1434,3.0927,3.129,294400
BAC,18-06-1986,3.1503,3.1503,3.1071,3.1503,104000
BAC,19-06-1986,3.1359,3.1434,3.1071,3.1359,386400
BAC,20-06-1986,3.1215,3.1503,3.0927,3.1503,540000
BAC,23-06-1986,3.1359,3.1359,3.0784,3.0784,146400
BAC,24-06-1986,3.0858,3.0858,3.0496,3.064,244800
BAC,25-06-1986,3.0496,3.129,3.0496,3.1215,669600
BAC,26-06-1986,3.1359,3.1434,3.064,3.1071,142400
BAC,27-06-1986,3.1215,3.1215,3.0571,3.1071,508800
BAC,30-06-1986,3.1146,3.1215,3.1071,3.1071,91200
BAC,01-07-1986,3.1215,3.1503,3.1071,3.1503,566400
BAC,02-07-1986,3.129,3.129,3.064,3.0784,1055200
BAC,03-07-1986,3.0714,3.0714,3.0427,3.064,341600
BAC,07-07-1986,3.0714,3.0714,2.9633,2.9851,336000
BAC,08-07-1986,2.9777,2.9777,2.877,2.9345,1145600
BAC,09-07-1986,2.9489,2.9489,2.8988,2.9345,460000
BAC,10-07-1986,2.9489,2.9708,2.877,2.9633,258400
BAC,11-07-1986,2.9777,2.9851,2.9564,2.9851,210400
BAC,14-07-1986,2.9777,2.9777,2.9057,2.9132,216800
BAC,15-07-1986,2.9276,2.9276,2.7763,2.7981,804800
BAC,16-07-1986,2.805,2.8338,2.7907,2.8338,378400
BAC,17-07-1986,2.8482,2.8701,2.8269,2.8269,158400
BAC,18-07-1986,2.8125,2.8194,2.7619,2.805,346400
BAC,21-07-1986,2.7907,2.7907,2.755,2.7694,312800
BAC,22-07-1986,2.7763,2.8194,2.7619,2.8125,693600
BAC,23-07-1986,2.7981,2.8269,2.7763,2.7837,508800
BAC,24-07-1986,2.7694,2.7694,2.69,2.7187,1747200
BAC,25-07-1986,2.69,2.7331,2.69,2.7262,2258400
BAC,28-07-1986,2.7262,2.7331,2.6687,2.6974,748800
BAC,29-07-1986,2.6756,2.69,2.6324,2.69,981600
BAC,30-07-1986,2.7043,2.7763,2.6756,2.7763,264000
BAC,31-07-1986,2.7619,2.7619,2.7262,2.7406,1360000
BAC,01-08-1986,2.7331,2.7475,2.69,2.7043,2578400
BAC,04-08-1986,2.7043,2.7837,2.6831,2.7694,543200
BAC,05-08-1986,2.7981,2.8194,2.7837,2.8194,521600
BAC,06-08-1986,2.8338,2.8482,2.8194,2.8413,1025600
BAC,07-08-1986,2.8269,2.8413,2.8125,2.8125,1778400
BAC,08-08-1986,2.8125,2.8413,2.8125,2.8269,1547200
BAC,11-08-1986,2.8194,2.8626,2.8194,2.8557,456800
BAC,12-08-1986,2.8626,2.8626,2.8413,2.8557,629600
