Label,date,open,high,low,close,volume
CMCSA,07-07-1988,0.987,0.9943,0.9659,0.987,2085001
CMCSA,08-07-1988,0.9943,1.0012,0.9375,0.9801,1612798
CMCSA,11-07-1988,0.9943,1.0012,0.9801,0.987,1892403
CMCSA,12-07-1988,1.0012,1.0012,0.9733,0.9733,2111400
CMCSA,13-07-1988,0.987,1.0012,0.9801,1.0012,1568403
CMCSA,14-07-1988,0.987,1.0086,0.987,1.0012,2165400
CMCSA,15-07-1988,1.0086,1.0086,1.0012,1.0086,2446801
CMCSA,18-07-1988,1.0012,1.0159,0.987,0.9943,5038801
CMCSA,19-07-1988,0.987,0.9943,0.9659,0.9801,3247803
CMCSA,20-07-1988,0.987,1.0159,0.9801,1.0012,2899800
CMCSA,21-07-1988,1.0012,1.0086,0.9943,0.9943,3118203
CMCSA,22-07-1988,0.9943,1.0012,0.9733,0.9801,1012203
CMCSA,25-07-1988,0.9733,0.9733,0.9517,0.9591,573001
CMCSA,26-07-1988,0.9517,0.9517,0.9375,0.9517,770398
CMCSA,27-07-1988,0.9517,0.9517,0.9091,0.9091,1483198
CMCSA,28-07-1988,0.9091,0.9165,0.8739,0.8875,4271400
CMCSA,29-07-1988,0.8875,0.9443,0.8807,0.9375,2559600
CMCSA,01-08-1988,0.9307,0.9307,0.8875,0.9091,2387401
CMCSA,02-08-1988,0.8949,0.9091,0.8875,0.9091,934801
CMCSA,03-08-1988,0.9091,0.9233,0.9017,0.9017,3556798
CMCSA,04-08-1988,0.9017,0.9307,0.9017,0.9091,5092801
CMCSA,05-08-1988,0.9091,0.9165,0.8807,0.8807,2232603
CMCSA,08-08-1988,0.9017,0.9091,0.8807,0.8807,3323403
CMCSA,09-08-1988,0.8875,0.8949,0.8591,0.8665,3045600
CMCSA,10-08-1988,0.8739,0.8739,0.8449,0.8449,2095200
CMCSA,11-08-1988,0.8591,0.9659,0.8239,0.8381,1915198
CMCSA,12-08-1988,0.8449,0.8591,0.8239,0.8449,1024198
CMCSA,15-08-1988,0.8591,0.8591,0.7955,0.8097,1782000
CMCSA,16-08-1988,0.7955,0.8313,0.7813,0.8239,5389200
CMCSA,17-08-1988,0.8313,0.8381,0.8239,0.8381,4858198
CMCSA,18-08-1988,0.8313,0.8381,0.8239,0.8239,2462400
CMCSA,19-08-1988,0.8313,0.8313,0.8023,0.8171,5446798
CMCSA,22-08-1988,0.8023,0.8171,0.7813,0.7955,2916000
CMCSA,23-08-1988,0.7813,0.7955,0.7813,0.7813,2467800
CMCSA,24-08-1988,0.7813,0.8023,0.7813,0.7955,5813998
CMCSA,25-08-1988,0.8023,0.8023,0.7813,0.7887,2943000
CMCSA,26-08-1988,0.7895,0.7963,0.7821,0.7963,1800603
CMCSA,29-08-1988,0.7963,0.8106,0.7895,0.8106,3194998
CMCSA,30-08-1988,0.8106,0.8106,0.7963,0.8032,1445398
CMCSA,31-08-1988,0.7963,0.8032,0.7963,0.8032,2703598
CMCSA,01-09-1988,0.8032,0.8032,0.7895,0.7963,1895400
CMCSA,02-09-1988,0.7963,0.8032,0.7963,0.8032,3528603
CMCSA,06-09-1988,0.8032,0.8106,0.7963,0.8106,3340798
CMCSA,07-09-1988,0.8179,0.8322,0.8106,0.8322,2581801
CMCSA,08-09-1988,0.8248,0.8458,0.8248,0.839,2457601
CMCSA,09-09-1988,0.839,0.8532,0.8322,0.8458,1069801
CMCSA,12-09-1988,0.8458,0.8532,0.839,0.839,1215000
CMCSA,13-09-1988,0.839,0.839,0.8248,0.839,575998
CMCSA,14-09-1988,0.8458,0.86,0.839,0.8532,1717200
CMCSA,15-09-1988,0.8532,0.86,0.839,0.8458,980998
CMCSA,16-09-1988,0.8532,0.8532,0.839,0.8532,2813400
CMCSA,19-09-1988,0.839,0.8458,0.8248,0.8322,646198
CMCSA,20-09-1988,0.8458,0.8532,0.839,0.8532,1464001
CMCSA,21-09-1988,0.8458,0.86,0.8458,0.8532,1083598
CMCSA,22-09-1988,0.86,0.86,0.8248,0.8458,1404000
CMCSA,23-09-1988,0.839,0.8532,0.8322,0.8458,1026601
CMCSA,26-09-1988,0.8532,0.8532,0.839,0.8532,1341603
CMCSA,27-09-1988,0.8532,0.8532,0.8322,0.8458,1939201
CMCSA,28-09-1988,0.8458,0.86,0.8322,0.8532,3134403
CMCSA,29-09-1988,0.86,0.9027,0.8532,0.8959,2170800
CMCSA,30-09-1988,0.8959,0.9101,0.8885,0.9027,2814001
CMCSA,03-10-1988,0.8885,0.9027,0.8748,0.8817,1650598
CMCSA,04-10-1988,0.8959,0.8959,0.8748,0.8817,1158003
CMCSA,05-10-1988,0.8748,0.9027,0.8748,0.8959,1053601
CMCSA,06-10-1988,0.8817,0.9243,0.8817,0.9243,1028403
CMCSA,07-10-1988,0.9243,0.9528,0.9101,0.9528,2843998
CMCSA,10-10-1988,0.9385,0.9454,0.9317,0.9317,710998
CMCSA,11-10-1988,0.9317,0.9385,0.9101,0.9317,669600
CMCSA,12-10-1988,0.9175,0.9175,0.9027,0.9175,1420801
CMCSA,13-10-1988,0.9101,0.9317,0.9027,0.9175,1150200
CMCSA,14-10-1988,0.9317,0.9454,0.9175,0.9243,5521203
CMCSA,17-10-1988,0.9175,0.9243,0.9027,0.9175,1946403
CMCSA,18-10-1988,0.9175,0.9317,0.9101,0.9317,1001403
CMCSA,19-10-1988,0.9317,0.9385,0.9101,0.9101,1120203
CMCSA,20-10-1988,0.9243,0.9317,0.9101,0.9317,2684401
CMCSA,21-10-1988,0.9175,0.9385,0.9175,0.9317,2302803
CMCSA,24-10-1988,0.9243,0.9317,0.9027,0.9175,1445398
CMCSA,25-10-1988,0.9101,0.9101,0.8959,0.9101,1566601
CMCSA,26-10-1988,0.9027,0.9101,0.8959,0.8959,505798
CMCSA,27-10-1988,0.8959,0.9027,0.86,0.8748,1396798
CMCSA,28-10-1988,0.8748,0.8885,0.8674,0.8817,1177200
CMCSA,31-10-1988,0.8748,0.8885,0.8748,0.8885,537003
CMCSA,01-11-1988,0.8748,0.8885,0.8748,0.8885,926998
CMCSA,02-11-1988,0.8817,0.8817,0.86,0.8748,621601
CMCSA,03-11-1988,0.8748,0.8885,0.86,0.8748,1112400
CMCSA,04-11-1988,0.8748,0.9027,0.8748,0.8748,1347003
CMCSA,07-11-1988,0.8748,0.8817,0.8532,0.86,1156201
CMCSA,08-11-1988,0.8748,0.8748,0.86,0.86,1194001
CMCSA,09-11-1988,0.86,0.8674,0.839,0.8458,1507201
CMCSA,10-11-1988,0.8458,0.86,0.839,0.839,645003
CMCSA,11-11-1988,0.8322,0.839,0.7895,0.7963,1647601
CMCSA,14-11-1988,0.8106,0.8179,0.7963,0.8032,3308398
CMCSA,15-11-1988,0.8032,0.8248,0.7963,0.8179,2646601
CMCSA,16-11-1988,0.8179,0.8179,0.8032,0.8032,2619000
CMCSA,17-11-1988,0.8106,0.8106,0.8032,0.8032,3364801
CMCSA,18-11-1988,0.8032,0.8248,0.8032,0.8179,1390203
CMCSA,21-11-1988,0.8248,0.8248,0.8032,0.8106,2054403
CMCSA,22-11-1988,0.8179,0.8179,0.7963,0.8032,1790998
CMCSA,23-11-1988,0.8032,0.8322,0.7963,0.8179,1290600
CMCSA,25-11-1988,0.8197,0.8265,0.8049,0.8049,493803
CMCSA,28-11-1988,0.8049,0.8197,0.8049,0.8123,369603
CMCSA,29-11-1988,0.8123,0.8265,0.8123,0.8123,847800
CMCSA,30-11-1988,0.8265,0.8476,0.8123,0.8408,736803
CMCSA,01-12-1988,0.855,0.855,0.8339,0.8408,1096801
CMCSA,02-12-1988,0.8339,0.8476,0.8197,0.8197,592198
CMCSA,05-12-1988,0.8197,0.855,0.8197,0.8408,2571001
CMCSA,06-12-1988,0.8408,0.855,0.8339,0.855,2740203
CMCSA,07-12-1988,0.8693,0.9046,0.8693,0.8978,5468398
CMCSA,08-12-1988,0.8835,0.8904,0.8835,0.8835,1890000
CMCSA,09-12-1988,0.8835,0.8904,0.8693,0.8835,1857600
CMCSA,12-12-1988,0.8693,0.8835,0.8619,0.8767,3788998
CMCSA,13-12-1988,0.8693,0.8835,0.8693,0.8693,1607398
CMCSA,14-12-1988,0.8767,0.8767,0.8693,0.8767,1897803
CMCSA,15-12-1988,0.8693,0.8767,0.8476,0.8476,2113803
CMCSA,16-12-1988,0.8476,0.8835,0.8476,0.8767,3805198
CMCSA,19-12-1988,0.8767,0.8904,0.8619,0.8767,1793401
CMCSA,20-12-1988,0.8767,0.9405,0.8767,0.9263,7033203
CMCSA,21-12-1988,0.9263,0.9548,0.9263,0.9337,2252401
CMCSA,22-12-1988,0.9405,0.9474,0.9263,0.9337,912600
CMCSA,23-12-1988,0.9337,0.9405,0.9337,0.9405,249001
CMCSA,27-12-1988,0.9337,0.9548,0.9263,0.9263,1547998
CMCSA,28-12-1988,0.9405,0.9405,0.9194,0.9194,1233603
CMCSA,29-12-1988,0.9337,0.9337,0.9194,0.9337,1396798
CMCSA,30-12-1988,0.9337,0.9548,0.9337,0.9548,1374003
CMCSA,03-01-1989,0.9405,0.9474,0.9337,0.9474,1053601
CMCSA,04-01-1989,0.9405,0.9833,0.9405,0.9764,3142800
CMCSA,05-01-1989,0.9833,0.9901,0.9548,0.9622,2702403
CMCSA,06-01-1989,0.9622,0.969,0.9548,0.969,3604203
CMCSA,09-01-1989,0.9622,0.9901,0.9622,0.9764,3841803
CMCSA,10-01-1989,0.9764,0.9833,0.969,0.9833,1326598
CMCSA,11-01-1989,0.9764,0.9833,0.9548,0.9622,1172401
CMCSA,12-01-1989,0.9622,0.969,0.9474,0.9548,2497203
CMCSA,13-01-1989,0.9548,0.9975,0.9548,0.9901,4768801
CMCSA,16-01-1989,0.9833,0.9901,0.9833,0.9901,1522800
CMCSA,17-01-1989,0.9833,0.9901,0.9764,0.9833,3934798
CMCSA,18-01-1989,0.9833,1.0545,0.9764,1.0403,5103000
CMCSA,19-01-1989,1.0545,1.0973,1.0545,1.0762,8170801
CMCSA,20-01-1989,1.083,1.1041,1.0762,1.0762,4671601
CMCSA,23-01-1989,1.0899,1.0899,1.0688,1.0688,1161000
CMCSA,24-01-1989,1.0688,1.0973,1.0688,1.083,4895998
CMCSA,25-01-1989,1.0899,1.0973,1.083,1.0899,3072600
CMCSA,26-01-1989,1.0973,1.1115,1.0899,1.1115,3331800
CMCSA,27-01-1989,1.1115,1.1189,1.0973,1.1041,3267601
CMCSA,30-01-1989,1.1041,1.1326,1.1041,1.1258,2008800
CMCSA,31-01-1989,1.1258,1.1258,1.0973,1.1115,4732803
CMCSA,01-02-1989,1.1115,1.1258,1.1041,1.1189,5769603
CMCSA,02-02-1989,1.1258,1.1543,1.1189,1.14,4465800
CMCSA,03-02-1989,1.14,1.14,1.1258,1.1326,3184198
CMCSA,06-02-1989,1.14,1.14,1.0899,1.0899,2141998
CMCSA,07-02-1989,1.0973,1.1189,1.0899,1.1115,1944000
CMCSA,08-02-1989,1.1189,1.1326,1.1041,1.1115,1850398
CMCSA,09-02-1989,1.1115,1.1115,1.0899,1.1041,2270403
CMCSA,10-02-1989,1.0899,1.1041,1.083,1.083,3192001
CMCSA,13-02-1989,1.083,1.083,1.0545,1.0619,2794203
CMCSA,14-02-1989,1.0619,1.0762,1.0619,1.0619,2100600
CMCSA,15-02-1989,1.0762,1.0762,1.0619,1.0762,969003
CMCSA,16-02-1989,1.0762,1.0899,1.0762,1.0762,1463400
CMCSA,17-02-1989,1.083,1.0973,1.0688,1.0973,1226401
CMCSA,21-02-1989,1.083,1.1041,1.083,1.1041,1325403
CMCSA,22-02-1989,1.1041,1.1041,1.0471,1.0619,1950001
CMCSA,23-02-1989,1.0545,1.0899,1.0471,1.083,2367603
CMCSA,24-02-1989,1.0899,1.0973,1.0545,1.0545,3744603
CMCSA,27-02-1989,1.0545,1.0619,1.0403,1.0471,3112803
CMCSA,28-02-1989,1.0619,1.0688,1.0471,1.0619,2117401
CMCSA,01-03-1989,1.0545,1.0619,1.0471,1.0471,3580801
CMCSA,02-03-1989,1.0688,1.083,1.0688,1.083,2884201
CMCSA,03-03-1989,1.083,1.1115,1.083,1.1041,3091203
CMCSA,06-03-1989,1.1326,1.1469,1.1258,1.14,3904200
CMCSA,07-03-1989,1.14,1.1469,1.1189,1.1189,1954800
CMCSA,08-03-1989,1.1326,1.14,1.1115,1.1258,1817998
CMCSA,09-03-1989,1.1115,1.1189,1.0973,1.0973,1093203
CMCSA,10-03-1989,1.0973,1.1115,1.0973,1.0973,1071603
CMCSA,13-03-1989,1.1115,1.1326,1.1041,1.1258,2248803
CMCSA,14-03-1989,1.1258,1.14,1.1189,1.1258,1442401
CMCSA,15-03-1989,1.14,1.2044,1.1258,1.1828,6532198
CMCSA,16-03-1989,1.1896,1.1896,1.1617,1.1828,4547401
CMCSA,17-03-1989,1.1685,1.1685,1.0762,1.0973,4790401
CMCSA,20-03-1989,1.083,1.1189,1.0688,1.083,4493401
CMCSA,21-03-1989,1.083,1.1041,1.0762,1.1041,1995003
CMCSA,22-03-1989,1.1041,1.1041,1.0762,1.083,1169998
CMCSA,23-03-1989,1.0899,1.0899,1.0688,1.0762,2016603
CMCSA,27-03-1989,1.0907,1.0907,1.0696,1.0839,567601
CMCSA,28-03-1989,1.0839,1.1124,1.077,1.0981,1042200
CMCSA,29-03-1989,1.105,1.1267,1.0907,1.1198,3100201
CMCSA,30-03-1989,1.1267,1.1409,1.1267,1.1409,3964201
CMCSA,31-03-1989,1.1409,1.2054,1.1409,1.2054,6169203
CMCSA,03-04-1989,1.2054,1.2122,1.1695,1.198,2260798
CMCSA,04-04-1989,1.1906,1.198,1.1695,1.1769,2786400
CMCSA,05-04-1989,1.1837,1.1837,1.1695,1.1837,664801
CMCSA,06-04-1989,1.1837,1.1837,1.1695,1.1837,1652400
CMCSA,07-04-1989,1.1769,1.2054,1.1769,1.198,772801
CMCSA,10-04-1989,1.198,1.2265,1.1906,1.2265,2984398
CMCSA,11-04-1989,1.2265,1.2333,1.1906,1.198,5843401
CMCSA,12-04-1989,1.2054,1.2333,1.198,1.2197,6856198
CMCSA,13-04-1989,1.2333,1.2333,1.2054,1.2122,4660801
CMCSA,14-04-1989,1.2197,1.2333,1.2197,1.2333,3235201
CMCSA,17-04-1989,1.2333,1.2333,1.2197,1.2333,1364398
CMCSA,18-04-1989,1.2333,1.2476,1.2265,1.2408,3024000
CMCSA,19-04-1989,1.2408,1.2476,1.2333,1.2408,2497203
CMCSA,20-04-1989,1.2333,1.2408,1.2054,1.2197,1928401
CMCSA,21-04-1989,1.2476,1.3052,1.2408,1.3052,9988198
CMCSA,24-04-1989,1.2904,1.3052,1.2836,1.2978,5560198
CMCSA,25-04-1989,1.3121,1.3195,1.2904,1.2904,3501603
CMCSA,26-04-1989,1.2904,1.3121,1.2904,1.2978,2295000
CMCSA,27-04-1989,1.2978,1.3195,1.2978,1.3121,4728598
CMCSA,28-04-1989,1.3121,1.3195,1.2693,1.2978,3451201
CMCSA,01-05-1989,1.2904,1.3474,1.2624,1.3474,5248800
CMCSA,02-05-1989,1.3406,1.3691,1.3332,1.3332,4185000
CMCSA,03-05-1989,1.3332,1.3406,1.3263,1.3332,2044798
CMCSA,04-05-1989,1.3332,1.3332,1.3195,1.3263,6947998
CMCSA,05-05-1989,1.3332,1.3332,1.3052,1.3263,5265000
CMCSA,08-05-1989,1.3121,1.3195,1.2978,1.2978,4033800
CMCSA,09-05-1989,1.3052,1.3121,1.2904,1.2904,2592601
CMCSA,10-05-1989,1.2904,1.3052,1.2761,1.2836,1609200
CMCSA,11-05-1989,1.2904,1.2978,1.2693,1.2836,7695601
CMCSA,12-05-1989,1.2978,1.3121,1.2761,1.3052,3513598
CMCSA,15-05-1989,1.3052,1.3121,1.2978,1.3052,5330401
CMCSA,16-05-1989,1.3121,1.3121,1.2978,1.2978,6274800
CMCSA,17-05-1989,1.2978,1.3549,1.2978,1.3406,17577000
CMCSA,18-05-1989,1.3691,1.376,1.3474,1.3691,5232600
CMCSA,19-05-1989,1.3834,1.3902,1.3691,1.3834,9587403
CMCSA,22-05-1989,1.3834,1.3834,1.3406,1.3549,2956203
CMCSA,23-05-1989,1.3474,1.3549,1.3121,1.3195,2822398
CMCSA,24-05-1989,1.3195,1.3474,1.3121,1.3474,4412401
CMCSA,25-05-1989,1.3492,1.3492,1.3138,1.3138,2327400
CMCSA,26-05-1989,1.3281,1.3281,1.3069,1.3281,3553200
CMCSA,30-05-1989,1.3281,1.3566,1.3212,1.3566,2853603
CMCSA,31-05-1989,1.3566,1.4069,1.3492,1.3995,2965201
CMCSA,01-06-1989,1.3995,1.428,1.3852,1.4069,4867803
CMCSA,02-06-1989,1.4212,1.4423,1.4069,1.428,4495203
CMCSA,05-06-1989,1.428,1.428,1.392,1.392,1330803
CMCSA,06-06-1989,1.3995,1.4212,1.392,1.4212,2287798
CMCSA,07-06-1989,1.4851,1.5206,1.4777,1.5069,4984801
CMCSA,08-06-1989,1.5137,1.5137,1.4709,1.4851,5124600
