Label,date,open,high,low,close,volume
HSBC,16-07-1999,22.6323,22.7015,22.4501,22.6104,253028
HSBC,19-07-1999,23.1788,23.2043,22.4064,22.6578,172986
HSBC,20-07-1999,22.4975,22.4975,22.1332,22.1805,86821
HSBC,21-07-1999,22.1805,22.2935,21.9984,22.2242,82229
HSBC,22-07-1999,22.2024,22.2242,22.0858,22.1805,36631
HSBC,23-07-1999,21.3134,21.3134,20.858,20.9709,125421
HSBC,26-07-1999,20.8799,21.2223,20.858,21.1312,50299
HSBC,27-07-1999,21.6085,21.951,21.4956,21.9036,90102
HSBC,28-07-1999,21.3134,21.634,21.1312,21.4519,101802
HSBC,29-07-1999,21.4519,21.4519,20.9491,20.9491,71731
HSBC,30-07-1999,21.951,21.951,21.6777,21.951,90648
HSBC,02-08-1999,22.0421,23.0659,22.0421,22.8145,80588
HSBC,03-08-1999,23.044,23.044,22.727,22.9529,106394
HSBC,04-08-1999,23.044,23.3172,22.7926,23.2735,70529
HSBC,05-08-1999,22.3372,22.4975,21.8599,22.4756,210820
HSBC,06-08-1999,21.7907,21.9036,21.4956,21.5393,120500
HSBC,09-08-1999,21.4045,21.4956,21.3353,21.3826,57844
HSBC,10-08-1999,20.7669,20.9928,20.6285,20.9928,73809
HSBC,11-08-1999,21.2223,21.4045,21.0875,21.4045,50846
HSBC,12-08-1999,22.268,22.268,21.9984,22.0202,76761
HSBC,13-08-1999,21.8599,22.2242,21.8599,22.0858,60359
HSBC,16-08-1999,22.0858,22.1805,21.951,22.0639,57954
HSBC,17-08-1999,22.2242,22.2242,22.0421,22.0858,40240
HSBC,18-08-1999,22.2866,22.3308,21.9625,22.0803,39365
HSBC,19-08-1999,22.4708,22.8834,22.4708,22.8171,75777
HSBC,20-08-1999,23.0234,23.3475,23.0234,23.2997,57188
HSBC,23-08-1999,23.4359,23.9001,23.4359,23.5317,115251
HSBC,24-08-1999,23.3917,23.4617,22.9092,23.4617,130123
HSBC,25-08-1999,23.4838,23.5759,22.725,22.7471,150570
HSBC,26-08-1999,23.3917,23.3917,22.795,22.8171,98084
HSBC,27-08-1999,22.9092,23.0676,22.4929,22.515,96334
HSBC,30-08-1999,23.0234,23.1376,22.795,22.8171,106504
HSBC,31-08-1999,22.9092,23.0234,22.6108,22.9313,55767
HSBC,01-09-1999,22.725,22.725,22.5408,22.6992,88789
HSBC,02-09-1999,22.3566,22.3787,22.1024,22.3566,45270
HSBC,03-09-1999,22.655,22.7471,22.585,22.7471,96553
HSBC,07-09-1999,22.9313,22.9313,22.6992,22.7471,23947
HSBC,08-09-1999,22.4708,22.6329,22.4266,22.5629,28321
HSBC,09-09-1999,23.1155,23.1155,22.9534,23.0676,81245
HSBC,10-09-1999,23.1155,23.1155,22.9313,23.1155,89883
HSBC,13-09-1999,22.6992,22.7471,22.5408,22.6992,82447
HSBC,14-09-1999,22.4266,22.4266,22.2645,22.3087,64733
HSBC,15-09-1999,21.8041,21.8041,21.3657,21.642,129576
HSBC,16-09-1999,21.5499,21.5941,21.3657,21.5499,63858
HSBC,17-09-1999,21.8483,22.1945,21.8483,22.1466,59266
HSBC,20-09-1999,21.9182,21.9882,21.7562,21.9882,44941
HSBC,21-09-1999,21.6641,21.6641,21.2736,21.2957,55657
