Label,date,open,high,low,close,volume
INTC,17-03-1980,0.2122,0.2156,0.2122,0.2122,10924800
INTC,18-03-1980,0.2122,0.2139,0.2105,0.2105,17068800
INTC,19-03-1980,0.2156,0.219,0.2156,0.2156,18508800
INTC,20-03-1980,0.2156,0.2182,0.2148,0.2148,11174400
INTC,21-03-1980,0.2105,0.2105,0.2071,0.2071,12172800
INTC,24-03-1980,0.2063,0.2063,0.2029,0.2029,8966400
INTC,25-03-1980,0.2037,0.2071,0.2037,0.2037,11347200
INTC,26-03-1980,0.2037,0.2054,0.202,0.202,16262400
INTC,27-03-1980,0.1986,0.1986,0.1952,0.1952,26918400
INTC,28-03-1980,0.2029,0.2063,0.2029,0.2029,20102400
INTC,31-03-1980,0.2097,0.2131,0.2097,0.2097,9004800
INTC,01-04-1980,0.2105,0.2139,0.2105,0.2105,8179200
INTC,02-04-1980,0.2122,0.2156,0.2122,0.2122,12556800
INTC,03-04-1980,0.2114,0.2114,0.208,0.208,6988800
INTC,07-04-1980,0.2063,0.2063,0.2029,0.2029,13478400
INTC,08-04-1980,0.2037,0.2071,0.2037,0.2037,29184000
INTC,09-04-1980,0.2029,0.2029,0.1995,0.1995,11558400
INTC,10-04-1980,0.1995,0.202,0.1986,0.1986,14784000
INTC,11-04-1980,0.1986,0.202,0.1986,0.1986,9523200
INTC,14-04-1980,0.2003,0.2037,0.2003,0.2003,8025600
INTC,15-04-1980,0.2003,0.2012,0.1978,0.1978,10598400
INTC,16-04-1980,0.1935,0.1935,0.1901,0.1901,10752000
INTC,17-04-1980,0.1901,0.1901,0.1868,0.1868,17702400
INTC,18-04-1980,0.1893,0.1927,0.1893,0.1893,18739200
INTC,21-04-1980,0.1893,0.191,0.1876,0.1876,9043200
INTC,22-04-1980,0.1961,0.1995,0.1961,0.1961,20428800
INTC,23-04-1980,0.208,0.2114,0.208,0.208,14822400
INTC,24-04-1980,0.2088,0.2122,0.2088,0.2088,8832000
INTC,25-04-1980,0.2088,0.2088,0.2054,0.2054,7104000
INTC,28-04-1980,0.2054,0.2071,0.2037,0.2037,6931200
INTC,29-04-1980,0.2054,0.2088,0.2054,0.2054,6297600
INTC,30-04-1980,0.208,0.2114,0.208,0.208,7065600
INTC,01-05-1980,0.2088,0.2122,0.2088,0.2088,7008000
INTC,02-05-1980,0.2122,0.2156,0.2122,0.2122,5510400
INTC,05-05-1980,0.2148,0.2182,0.2148,0.2148,3513600
INTC,06-05-1980,0.2148,0.2173,0.2139,0.2139,6988800
INTC,07-05-1980,0.2139,0.2173,0.2139,0.2139,6393600
INTC,08-05-1980,0.2139,0.2148,0.2114,0.2114,7468800
INTC,09-05-1980,0.2139,0.2173,0.2139,0.2139,16684800
INTC,12-05-1980,0.2139,0.2165,0.2131,0.2131,8582400
INTC,13-05-1980,0.2173,0.2207,0.2173,0.2173,7372800
INTC,14-05-1980,0.2207,0.2241,0.2207,0.2207,4742400
INTC,15-05-1980,0.2224,0.2258,0.2224,0.2224,8102400
INTC,16-05-1980,0.225,0.2283,0.225,0.225,4838400
INTC,19-05-1980,0.2258,0.2292,0.2258,0.2258,8640000
INTC,20-05-1980,0.2258,0.2266,0.2233,0.2233,21811200
INTC,21-05-1980,0.2216,0.2216,0.2182,0.2182,10540800
INTC,22-05-1980,0.2182,0.219,0.2156,0.2156,5318400
INTC,23-05-1980,0.2233,0.2266,0.2233,0.2233,29779200
INTC,27-05-1980,0.2233,0.2258,0.2224,0.2224,8332800
INTC,28-05-1980,0.2275,0.2309,0.2275,0.2275,6700800
INTC,29-05-1980,0.2275,0.2309,0.2275,0.2275,7660800
INTC,30-05-1980,0.2309,0.2343,0.2309,0.2309,5721600
INTC,02-06-1980,0.2317,0.2351,0.2317,0.2317,6355200
INTC,03-06-1980,0.2292,0.2292,0.2258,0.2258,15244800
INTC,04-06-1980,0.2292,0.2326,0.2292,0.2292,7680000
INTC,05-06-1980,0.2292,0.2326,0.2292,0.2292,6470400
INTC,06-06-1980,0.2292,0.2309,0.2275,0.2275,28723200
INTC,09-06-1980,0.2275,0.2292,0.2258,0.2258,7545600
INTC,10-06-1980,0.2283,0.2317,0.2283,0.2283,17280000
INTC,11-06-1980,0.2309,0.2343,0.2309,0.2309,3206400
INTC,12-06-1980,0.2309,0.2309,0.2275,0.2275,10809600
INTC,13-06-1980,0.2275,0.2309,0.2275,0.2275,3590400
INTC,16-06-1980,0.2275,0.2309,0.2275,0.2275,7987200
INTC,17-06-1980,0.2275,0.23,0.2266,0.2266,12864000
INTC,18-06-1980,0.2266,0.2283,0.225,0.225,8064000
INTC,19-06-1980,0.2241,0.2241,0.2207,0.2207,13689600
INTC,20-06-1980,0.2216,0.225,0.2216,0.2216,7027200
INTC,23-06-1980,0.2216,0.225,0.2216,0.2216,9888000
INTC,24-06-1980,0.2216,0.225,0.2216,0.2216,9676800
INTC,25-06-1980,0.2241,0.2275,0.2241,0.2241,15494400
INTC,26-06-1980,0.2241,0.2275,0.2241,0.2241,10156800
INTC,27-06-1980,0.225,0.2283,0.225,0.225,6912000
INTC,30-06-1980,0.225,0.2266,0.2233,0.2233,5337600
INTC,01-07-1980,0.2266,0.23,0.2266,0.2266,9811200
INTC,02-07-1980,0.2283,0.2317,0.2283,0.2283,6585600
INTC,03-07-1980,0.23,0.2334,0.23,0.23,4550400
INTC,07-07-1980,0.2385,0.2402,0.2385,0.2385,19545600
INTC,08-07-1980,0.2436,0.2453,0.2436,0.2436,13190400
INTC,09-07-1980,0.2436,0.2445,0.2436,0.2436,9388800
INTC,10-07-1980,0.247,0.2479,0.247,0.247,14092800
INTC,11-07-1980,0.247,0.2479,0.2462,0.2462,9888000
INTC,14-07-1980,0.2487,0.2504,0.2487,0.2487,15052800
INTC,15-07-1980,0.2564,0.2572,0.2564,0.2564,20678400
INTC,16-07-1980,0.2606,0.2615,0.2606,0.2606,11692800
INTC,17-07-1980,0.2665,0.2682,0.2665,0.2665,15456000
INTC,18-07-1980,0.2733,0.2742,0.2733,0.2733,12576000
INTC,21-07-1980,0.2733,0.2742,0.2733,0.2733,14208000
INTC,22-07-1980,0.2716,0.2716,0.2699,0.2699,14150400
INTC,23-07-1980,0.2682,0.2682,0.2674,0.2674,8371200
INTC,24-07-1980,0.2665,0.2665,0.2657,0.2657,11616000
INTC,25-07-1980,0.264,0.264,0.2632,0.2632,22156800
INTC,28-07-1980,0.2657,0.2674,0.2657,0.2657,7372800
INTC,29-07-1980,0.2776,0.2793,0.2776,0.2776,11424000
INTC,30-07-1980,0.2861,0.2869,0.2861,0.2861,12614400
INTC,31-07-1980,0.2878,0.2895,0.2878,0.2878,24384000
INTC,01-08-1980,0.2861,0.2861,0.2835,0.2835,9523200
INTC,04-08-1980,0.2878,0.2903,0.2878,0.2878,5721600
INTC,05-08-1980,0.2895,0.2912,0.2895,0.2895,6720000
INTC,06-08-1980,0.2895,0.2895,0.2869,0.2869,11193600
INTC,07-08-1980,0.2903,0.2912,0.2903,0.2903,8812800
INTC,08-08-1980,0.2946,0.2963,0.2946,0.2946,5817600
INTC,11-08-1980,0.3132,0.3149,0.3132,0.3132,7276800
INTC,12-08-1980,0.3141,0.3175,0.3141,0.3141,22406400
INTC,13-08-1980,0.3098,0.3098,0.3081,0.3081,12153600
INTC,14-08-1980,0.3081,0.309,0.3081,0.3081,8793600
INTC,15-08-1980,0.3056,0.3056,0.3039,0.3039,41011200
INTC,18-08-1980,0.2963,0.2963,0.2954,0.2954,7699200
INTC,19-08-1980,0.292,0.292,0.2912,0.2912,8889600
INTC,20-08-1980,0.2971,0.2988,0.2971,0.2971,11808000
INTC,21-08-1980,0.3005,0.3013,0.3005,0.3005,11251200
INTC,22-08-1980,0.3022,0.303,0.3022,0.3022,38515200
