Label,date,open,high,low,close,volume
ORCL,12-03-1986,0.0565,0.0572,0.0565,0.0565,392979600
ORCL,13-03-1986,0.0579,0.0586,0.0579,0.0579,125290800
ORCL,14-03-1986,0.0599,0.0606,0.0599,0.0599,57866400
ORCL,17-03-1986,0.0593,0.0593,0.0586,0.0586,28285200
ORCL,18-03-1986,0.0579,0.0579,0.0572,0.0572,32335200
ORCL,19-03-1986,0.0572,0.0572,0.0558,0.0558,22712400
ORCL,20-03-1986,0.0558,0.0565,0.0558,0.0558,17787600
ORCL,21-03-1986,0.0551,0.0551,0.0537,0.0537,16232400
ORCL,24-03-1986,0.0537,0.0544,0.0537,0.0537,20736000
ORCL,25-03-1986,0.0537,0.0544,0.0537,0.0537,21675600
ORCL,26-03-1986,0.0544,0.0558,0.0544,0.0544,23328000
ORCL,27-03-1986,0.0565,0.0579,0.0565,0.0565,21513600
ORCL,31-03-1986,0.0572,0.0579,0.0572,0.0572,9882000
ORCL,01-04-1986,0.0551,0.0551,0.0544,0.0544,20314800
ORCL,02-04-1986,0.0544,0.0551,0.0537,0.0537,12960000
ORCL,03-04-1986,0.0558,0.0572,0.0558,0.0558,11955600
ORCL,04-04-1986,0.0558,0.0565,0.0551,0.0551,10659600
ORCL,07-04-1986,0.0558,0.0565,0.0558,0.0558,9007200
ORCL,08-04-1986,0.0558,0.0572,0.0558,0.0558,15001200
ORCL,09-04-1986,0.0558,0.0565,0.0558,0.0558,8942400
ORCL,10-04-1986,0.0558,0.0565,0.0558,0.0558,9428400
ORCL,11-04-1986,0.0572,0.0579,0.0572,0.0572,18273600
ORCL,14-04-1986,0.0572,0.0579,0.0572,0.0572,46785600
ORCL,15-04-1986,0.0572,0.0579,0.0572,0.0579,12020400
ORCL,16-04-1986,0.0579,0.0606,0.0572,0.0606,22550400
ORCL,17-04-1986,0.0606,0.0661,0.0606,0.0661,19699200
ORCL,18-04-1986,0.0661,0.073,0.0661,0.0717,27799200
ORCL,21-04-1986,0.0717,0.0796,0.071,0.0786,33534000
ORCL,22-04-1986,0.0786,0.0786,0.0737,0.0744,38264400
ORCL,23-04-1986,0.0744,0.0744,0.0724,0.0724,4114800
ORCL,24-04-1986,0.0724,0.0737,0.0724,0.0737,10789200
ORCL,25-04-1986,0.0737,0.0751,0.0737,0.0751,4633200
ORCL,28-04-1986,0.0751,0.0772,0.0751,0.0758,46008000
ORCL,29-04-1986,0.0758,0.0765,0.0744,0.0751,2786400
ORCL,30-04-1986,0.0737,0.0737,0.0689,0.0689,9720000
ORCL,01-05-1986,0.0689,0.071,0.0689,0.0703,21546000
ORCL,02-05-1986,0.0703,0.071,0.0661,0.0661,10627200
ORCL,05-05-1986,0.0661,0.0675,0.0661,0.0675,4924800
ORCL,06-05-1986,0.0675,0.0696,0.0661,0.0696,7257600
ORCL,07-05-1986,0.0696,0.071,0.0696,0.071,11826000
ORCL,08-05-1986,0.071,0.073,0.0703,0.0717,21254400
ORCL,09-05-1986,0.0717,0.073,0.0717,0.073,7581600
ORCL,12-05-1986,0.073,0.073,0.0717,0.0724,11404800
ORCL,13-05-1986,0.0724,0.0744,0.0717,0.0744,35510400
ORCL,14-05-1986,0.0744,0.0744,0.0724,0.0724,2559600
ORCL,15-05-1986,0.0724,0.0737,0.0724,0.0737,939600
ORCL,16-05-1986,0.0737,0.0744,0.073,0.0744,3985200
ORCL,19-05-1986,0.0744,0.0744,0.0703,0.0703,8974800
ORCL,20-05-1986,0.0703,0.0717,0.0703,0.0703,4438800
ORCL,21-05-1986,0.0703,0.071,0.0703,0.071,874800
ORCL,22-05-1986,0.071,0.071,0.0682,0.0689,11599200
ORCL,23-05-1986,0.0689,0.0696,0.0675,0.0675,4600800
ORCL,27-05-1986,0.0675,0.0689,0.0668,0.0682,2430000
ORCL,28-05-1986,0.0682,0.0682,0.0668,0.0682,1198800
ORCL,29-05-1986,0.0668,0.0668,0.0655,0.0655,5086800
ORCL,30-05-1986,0.0655,0.0668,0.0641,0.0648,20574000
ORCL,02-06-1986,0.0648,0.0648,0.0613,0.0627,8845200
ORCL,03-06-1986,0.0627,0.0644,0.0579,0.0644,62175600
ORCL,04-06-1986,0.0644,0.0648,0.0634,0.0648,22582800
ORCL,05-06-1986,0.0648,0.0717,0.0634,0.0689,28447200
ORCL,06-06-1986,0.0689,0.0703,0.0689,0.0689,4341600
ORCL,09-06-1986,0.0689,0.0696,0.0661,0.0682,6091200
ORCL,10-06-1986,0.0682,0.0682,0.0655,0.0668,17917200
ORCL,11-06-1986,0.0668,0.0689,0.0668,0.0689,10432800
ORCL,12-06-1986,0.0689,0.0693,0.0682,0.0682,12700800
ORCL,13-06-1986,0.0682,0.0703,0.0682,0.0689,19213200
ORCL,16-06-1986,0.0689,0.0696,0.0682,0.0682,5378400
ORCL,17-06-1986,0.0682,0.0693,0.0668,0.0675,18500400
ORCL,18-06-1986,0.0675,0.0682,0.0668,0.0668,8164800
ORCL,19-06-1986,0.0668,0.0682,0.0668,0.0679,5670000
ORCL,20-06-1986,0.0679,0.0682,0.0665,0.0668,21384000
ORCL,23-06-1986,0.0668,0.0682,0.0661,0.0682,18079200
ORCL,24-06-1986,0.0682,0.0682,0.0661,0.0682,10659600
ORCL,25-06-1986,0.0682,0.0682,0.0675,0.0675,550800
ORCL,26-06-1986,0.0675,0.0689,0.0661,0.0682,5670000
ORCL,27-06-1986,0.0682,0.0682,0.0668,0.0668,13867200
ORCL,30-06-1986,0.0668,0.0682,0.0668,0.0672,7549200
ORCL,01-07-1986,0.0672,0.0682,0.0668,0.0682,2721600
ORCL,02-07-1986,0.0682,0.0682,0.0668,0.0668,972000
ORCL,03-07-1986,0.0668,0.0682,0.0668,0.0668,4050000
ORCL,07-07-1986,0.0668,0.0682,0.0655,0.0661,10303200
