Label,date,open,high,low,close,volume
PFE,01-06-1972,0.3453,0.3456,0.3403,0.3456,2332800
PFE,02-06-1972,0.3456,0.3467,0.3403,0.3414,1531200
PFE,05-06-1972,0.3414,0.3424,0.3383,0.3403,2452800
PFE,06-06-1972,0.3403,0.3498,0.3393,0.3477,2227200
PFE,07-06-1972,0.3477,0.3477,0.3424,0.3477,979200
PFE,08-06-1972,0.3477,0.3488,0.3456,0.3456,1012800
PFE,09-06-1972,0.3456,0.3488,0.3456,0.3477,1483200
PFE,12-06-1972,0.3477,0.354,0.3477,0.3488,1843200
PFE,13-06-1972,0.3488,0.354,0.3467,0.3519,2064000
PFE,14-06-1972,0.3519,0.354,0.3498,0.3519,1963200
PFE,15-06-1972,0.3519,0.355,0.3477,0.3477,2587200
PFE,16-06-1972,0.3477,0.354,0.3435,0.354,2275200
PFE,19-06-1972,0.354,0.3582,0.3529,0.3582,1608000
PFE,20-06-1972,0.3582,0.3603,0.3561,0.3603,2212800
PFE,21-06-1972,0.3603,0.3623,0.3561,0.3561,1934400
PFE,22-06-1972,0.3561,0.3592,0.3529,0.3571,2313600
PFE,23-06-1972,0.3571,0.3582,0.3477,0.3561,1406400
PFE,26-06-1972,0.3561,0.3561,0.3477,0.3519,1536000
PFE,27-06-1972,0.3519,0.355,0.3477,0.3519,1944000
PFE,28-06-1972,0.3509,0.3509,0.3467,0.3488,1248000
PFE,29-06-1972,0.3488,0.354,0.3467,0.354,1060800
PFE,30-06-1972,0.354,0.3603,0.3529,0.355,2774400
PFE,03-07-1972,0.355,0.3582,0.3519,0.3561,782400
PFE,05-07-1972,0.3582,0.3665,0.3582,0.3623,2755200
PFE,06-07-1972,0.3654,0.3707,0.3654,0.3696,3696000
PFE,07-07-1972,0.3696,0.3749,0.3675,0.3749,2011200
PFE,10-07-1972,0.3749,0.3801,0.3739,0.376,2932800
PFE,11-07-1972,0.376,0.3801,0.376,0.376,2073600
PFE,12-07-1972,0.376,0.3801,0.3749,0.377,2558400
PFE,13-07-1972,0.3749,0.3749,0.3644,0.3665,1056000
PFE,14-07-1972,0.3665,0.377,0.3654,0.3749,1502400
PFE,17-07-1972,0.3749,0.377,0.3654,0.3718,777600
PFE,18-07-1972,0.3707,0.3707,0.3571,0.3675,1449600
PFE,19-07-1972,0.3675,0.3728,0.3644,0.3696,2035200
PFE,20-07-1972,0.3696,0.3718,0.3634,0.3644,1416000
PFE,21-07-1972,0.3644,0.3665,0.3603,0.3665,907200
PFE,24-07-1972,0.3665,0.3665,0.354,0.3582,9235200
PFE,25-07-1972,0.3592,0.3675,0.3592,0.3644,2558400
PFE,26-07-1972,0.3644,0.3665,0.3623,0.3623,1286400
PFE,27-07-1972,0.3623,0.3634,0.3603,0.3603,1075200
PFE,28-07-1972,0.3613,0.3634,0.3613,0.3634,1070400
PFE,31-07-1972,0.3634,0.3634,0.3603,0.3603,1939200
PFE,01-08-1972,0.3603,0.3686,0.3603,0.3675,1713600
PFE,02-08-1972,0.3686,0.3739,0.3686,0.3728,2865600
PFE,03-08-1972,0.3728,0.3739,0.3654,0.3675,1238400
PFE,04-08-1972,0.3675,0.3718,0.3644,0.3696,2035200
