Label,date,open,high,low,close,volume
AAPL,12-12-1980,0.4164,0.4182,0.4164,0.4164,117258400
AAPL,15-12-1980,0.3966,0.3966,0.3947,0.3947,43971200
AAPL,16-12-1980,0.3675,0.3675,0.3657,0.3657,26432000
AAPL,17-12-1980,0.3747,0.3766,0.3747,0.3747,21610400
AAPL,18-12-1980,0.3857,0.3874,0.3857,0.3857,18362400
AAPL,19-12-1980,0.4092,0.4111,0.4092,0.4092,12157600
AAPL,22-12-1980,0.4292,0.4309,0.4292,0.4292,9340800
AAPL,23-12-1980,0.4473,0.449,0.4473,0.4473,11737600
AAPL,24-12-1980,0.4707,0.4726,0.4707,0.4707,12000800
AAPL,26-12-1980,0.5142,0.5159,0.5142,0.5142,13893600
AAPL,29-12-1980,0.5214,0.5233,0.5214,0.5214,23290400
AAPL,30-12-1980,0.5106,0.5106,0.5087,0.5087,17220000
AAPL,31-12-1980,0.4961,0.4961,0.4943,0.4943,8937600
AAPL,02-01-1981,0.4997,0.5033,0.4997,0.4997,5415200
AAPL,05-01-1981,0.4906,0.4906,0.4888,0.4888,8932000
AAPL,06-01-1981,0.4688,0.4688,0.4671,0.4671,11289600
AAPL,07-01-1981,0.449,0.449,0.4473,0.4473,13921600
AAPL,08-01-1981,0.4399,0.4399,0.4381,0.4381,9956800
AAPL,09-01-1981,0.4618,0.4635,0.4618,0.4618,5376000
AAPL,12-01-1981,0.4618,0.4618,0.458,0.458,5924800
AAPL,13-01-1981,0.4436,0.4436,0.4418,0.4418,5762400
AAPL,14-01-1981,0.4436,0.4454,0.4436,0.4436,3572800
AAPL,15-01-1981,0.4526,0.4562,0.4526,0.4526,3516800
AAPL,16-01-1981,0.4507,0.4507,0.449,0.449,3348800
AAPL,19-01-1981,0.4761,0.478,0.4761,0.4761,10393600
AAPL,20-01-1981,0.4635,0.4635,0.4618,0.4618,7520800
AAPL,21-01-1981,0.4707,0.4744,0.4707,0.4707,3976000
AAPL,22-01-1981,0.4761,0.4799,0.4761,0.4761,8887200
AAPL,23-01-1981,0.4761,0.478,0.4744,0.4744,2805600
AAPL,26-01-1981,0.4688,0.4688,0.4671,0.4671,6160000
AAPL,27-01-1981,0.4671,0.4671,0.4635,0.4635,5924800
AAPL,28-01-1981,0.4507,0.4507,0.449,0.449,7039200
AAPL,29-01-1981,0.4345,0.4345,0.4326,0.4326,10976000
AAPL,30-01-1981,0.4128,0.4128,0.4092,0.4092,11547200
AAPL,02-02-1981,0.3874,0.3874,0.3857,0.3857,5941600
AAPL,03-02-1981,0.4,0.4019,0.4,0.4,4788000
AAPL,04-02-1981,0.4145,0.4164,0.4145,0.4145,6966400
AAPL,05-02-1981,0.4145,0.4182,0.4145,0.4145,1982400
AAPL,06-02-1981,0.4164,0.4182,0.4164,0.4164,3466400
AAPL,09-02-1981,0.3983,0.3983,0.3947,0.3947,4188800
AAPL,10-02-1981,0.3947,0.3966,0.3947,0.3947,4586400
AAPL,11-02-1981,0.3838,0.3838,0.3819,0.3819,3460800
AAPL,12-02-1981,0.3802,0.3802,0.3785,0.3785,3640000
AAPL,13-02-1981,0.373,0.373,0.3693,0.3693,2788800
AAPL,17-02-1981,0.3785,0.3802,0.3785,0.3785,3068800
AAPL,18-02-1981,0.3947,0.3983,0.3947,0.3947,4810400
AAPL,19-02-1981,0.373,0.373,0.3712,0.3712,5577600
AAPL,20-02-1981,0.3531,0.3531,0.3512,0.3512,6092800
AAPL,23-02-1981,0.3566,0.3585,0.3566,0.3566,3528000
AAPL,24-02-1981,0.3476,0.3476,0.344,0.344,4244800
AAPL,25-02-1981,0.3657,0.3675,0.3657,0.3657,4872000
AAPL,26-02-1981,0.3712,0.373,0.3712,0.3712,2710400
AAPL,27-02-1981,0.3838,0.3874,0.3838,0.3838,3690400
AAPL,02-03-1981,0.3857,0.3874,0.3857,0.3857,2940000
AAPL,03-03-1981,0.3819,0.3819,0.3802,0.3802,4043200
AAPL,04-03-1981,0.3785,0.3785,0.3766,0.3766,3427200
AAPL,05-03-1981,0.3766,0.3766,0.3747,0.3747,1344000
AAPL,06-03-1981,0.3747,0.3747,0.3712,0.3712,2900800
AAPL,09-03-1981,0.344,0.344,0.3423,0.3423,3830400
AAPL,10-03-1981,0.3278,0.3278,0.3259,0.3259,7095200
AAPL,11-03-1981,0.3168,0.3168,0.3131,0.3131,7464800
AAPL,12-03-1981,0.3259,0.3278,0.3259,0.3259,14812000
AAPL,13-03-1981,0.324,0.324,0.3223,0.3223,57825600
AAPL,16-03-1981,0.335,0.3385,0.335,0.335,9307200
AAPL,17-03-1981,0.3512,0.3549,0.3512,0.3512,10936800
AAPL,18-03-1981,0.373,0.3766,0.373,0.373,9234400
AAPL,19-03-1981,0.3712,0.3712,0.3693,0.3693,9452800
AAPL,20-03-1981,0.373,0.3766,0.373,0.373,3651200
AAPL,23-03-1981,0.3874,0.3911,0.3874,0.3874,5504800
AAPL,24-03-1981,0.3874,0.3874,0.3857,0.3857,7039200
AAPL,25-03-1981,0.3819,0.3819,0.3785,0.3785,1764000
AAPL,26-03-1981,0.373,0.373,0.3712,0.3712,3068800
AAPL,27-03-1981,0.3604,0.3604,0.3585,0.3585,3063200
AAPL,30-03-1981,0.3585,0.3621,0.3585,0.3585,2475200
AAPL,31-03-1981,0.3585,0.3585,0.3549,0.3549,3998400
AAPL,01-04-1981,0.3531,0.3531,0.3512,0.3512,8517600
AAPL,02-04-1981,0.3819,0.3838,0.3819,0.3819,7851200
AAPL,03-04-1981,0.3838,0.3857,0.3838,0.3838,4121600
AAPL,06-04-1981,0.3785,0.3785,0.3766,0.3766,5700800
AAPL,07-04-1981,0.3747,0.3747,0.373,0.373,2671200
AAPL,08-04-1981,0.3911,0.3947,0.3911,0.3911,5488000
AAPL,09-04-1981,0.3983,0.4,0.3983,0.3983,3124800
AAPL,10-04-1981,0.4038,0.4056,0.4038,0.4038,8366400
AAPL,13-04-1981,0.4038,0.4056,0.4038,0.4038,4015200
AAPL,14-04-1981,0.4038,0.4056,0.4038,0.4038,1663200
AAPL,15-04-1981,0.3857,0.3857,0.3838,0.3838,8512000
AAPL,16-04-1981,0.3638,0.3638,0.3621,0.3621,5969600
AAPL,20-04-1981,0.373,0.3747,0.373,0.373,8836800
AAPL,21-04-1981,0.3983,0.4,0.3983,0.3983,7134400
AAPL,22-04-1981,0.4128,0.4145,0.4128,0.4128,4748800
AAPL,23-04-1981,0.4237,0.4254,0.4237,0.4237,14504000
AAPL,24-04-1981,0.4237,0.4237,0.42,0.42,8764000
AAPL,27-04-1981,0.4182,0.4182,0.4164,0.4164,9632000
AAPL,28-04-1981,0.4111,0.4111,0.4092,0.4092,8047200
AAPL,29-04-1981,0.4056,0.4056,0.4038,0.4038,3410400
AAPL,30-04-1981,0.4111,0.4145,0.4111,0.4111,3152800
AAPL,01-05-1981,0.4111,0.4145,0.4111,0.4111,4138400
AAPL,04-05-1981,0.4111,0.4111,0.4092,0.4092,3612000
AAPL,05-05-1981,0.4092,0.4092,0.4073,0.4073,4384800
AAPL,06-05-1981,0.3983,0.3983,0.3966,0.3966,4737600
AAPL,07-05-1981,0.4019,0.4038,0.4019,0.4019,2340800
AAPL,08-05-1981,0.4056,0.4073,0.4056,0.4056,1976800
AAPL,11-05-1981,0.3983,0.3983,0.3966,0.3966,2984800
AAPL,12-05-1981,0.3966,0.4019,0.3966,0.3966,1064000
AAPL,13-05-1981,0.3966,0.4,0.3947,0.3947,1226400
AAPL,14-05-1981,0.393,0.393,0.3892,0.3892,1232000
AAPL,15-05-1981,0.3983,0.4038,0.3983,0.3983,1226400
AAPL,18-05-1981,0.4056,0.4092,0.4056,0.4056,1041600
AAPL,19-05-1981,0.4,0.4,0.3983,0.3983,6356000
AAPL,20-05-1981,0.4111,0.4145,0.4111,0.4111,3320800
AAPL,21-05-1981,0.4345,0.4364,0.4345,0.4345,8052800
AAPL,22-05-1981,0.4545,0.458,0.4545,0.4545,7856800
AAPL,26-05-1981,0.4545,0.4545,0.4526,0.4526,21336000
AAPL,27-05-1981,0.478,0.4799,0.478,0.478,37374400
AAPL,28-05-1981,0.478,0.4799,0.478,0.478,18496800
AAPL,29-05-1981,0.4799,0.4816,0.4799,0.4799,14845600
AAPL,01-06-1981,0.4799,0.4816,0.4799,0.4799,12812800
AAPL,02-06-1981,0.458,0.458,0.4562,0.4562,10108000
AAPL,03-06-1981,0.4562,0.4599,0.4562,0.4562,9861600
AAPL,04-06-1981,0.4652,0.4671,0.4652,0.4652,14016800
AAPL,05-06-1981,0.4599,0.4599,0.458,0.458,14420000
AAPL,08-06-1981,0.4436,0.4436,0.4418,0.4418,23374400
AAPL,09-06-1981,0.4507,0.4526,0.4507,0.4507,29898400
AAPL,10-06-1981,0.4562,0.4618,0.4562,0.4562,6305600
AAPL,11-06-1981,0.4761,0.478,0.4761,0.4761,9744000
AAPL,12-06-1981,0.4726,0.4726,0.4707,0.4707,6451200
AAPL,15-06-1981,0.4707,0.4707,0.4688,0.4688,35940800
AAPL,16-06-1981,0.4618,0.4618,0.4599,0.4599,9312800
AAPL,17-06-1981,0.4545,0.4545,0.4526,0.4526,6893600
AAPL,18-06-1981,0.4526,0.4545,0.4507,0.4507,5762400
AAPL,19-06-1981,0.4399,0.4399,0.4381,0.4381,6876800
AAPL,22-06-1981,0.4237,0.4237,0.4219,0.4219,2710400
AAPL,23-06-1981,0.4292,0.4326,0.4292,0.4292,3757600
AAPL,24-06-1981,0.4219,0.4219,0.4182,0.4182,5756800
AAPL,25-06-1981,0.4273,0.4292,0.4273,0.4273,6064800
AAPL,26-06-1981,0.4254,0.4254,0.4219,0.4219,5947200
AAPL,29-06-1981,0.4111,0.4111,0.4073,0.4073,2648800
AAPL,30-06-1981,0.3785,0.3785,0.3766,0.3766,8976800
AAPL,01-07-1981,0.3747,0.3747,0.373,0.373,42616000
AAPL,02-07-1981,0.373,0.3747,0.373,0.373,7571200
AAPL,06-07-1981,0.3638,0.3638,0.3604,0.3604,4132800
AAPL,07-07-1981,0.3638,0.3675,0.3638,0.3638,3959200
AAPL,08-07-1981,0.3785,0.3802,0.3785,0.3785,4155200
AAPL,09-07-1981,0.3512,0.3512,0.3494,0.3494,8220800
AAPL,10-07-1981,0.324,0.324,0.3223,0.3223,13792800
AAPL,13-07-1981,0.3295,0.3312,0.3295,0.3295,11435200
AAPL,14-07-1981,0.344,0.3476,0.344,0.344,4944800
AAPL,15-07-1981,0.3531,0.3549,0.3531,0.3531,2738400
AAPL,16-07-1981,0.3621,0.3657,0.3621,0.3621,3808000
AAPL,17-07-1981,0.3747,0.3766,0.3747,0.3747,4956000
AAPL,20-07-1981,0.3512,0.3512,0.3494,0.3494,5913600
AAPL,21-07-1981,0.3494,0.3494,0.3476,0.3476,7985600
AAPL,22-07-1981,0.3312,0.3312,0.3278,0.3278,5667200
AAPL,23-07-1981,0.3368,0.3385,0.3368,0.3368,8612800
AAPL,24-07-1981,0.3476,0.3494,0.3476,0.3476,7212800
AAPL,27-07-1981,0.3621,0.3638,0.3621,0.3621,4334400
AAPL,28-07-1981,0.3512,0.3512,0.3494,0.3494,5712000
AAPL,29-07-1981,0.3459,0.3459,0.344,0.344,3875200
AAPL,30-07-1981,0.3566,0.3604,0.3566,0.3566,2475200
AAPL,31-07-1981,0.3621,0.3638,0.3621,0.3621,2738400
AAPL,03-08-1981,0.3621,0.3621,0.3585,0.3585,3108000
AAPL,04-08-1981,0.3638,0.3657,0.3638,0.3638,7918400
AAPL,05-08-1981,0.3747,0.3766,0.3747,0.3747,4373600
AAPL,06-08-1981,0.3675,0.3675,0.3657,0.3657,2632000
AAPL,07-08-1981,0.3657,0.3675,0.3657,0.3657,2301600
AAPL,11-08-1981,0.3585,0.3585,0.3549,0.3549,17864000
AAPL,12-08-1981,0.3494,0.3494,0.3476,0.3476,6568800
AAPL,13-08-1981,0.3385,0.3385,0.3368,0.3368,6871200
AAPL,14-08-1981,0.335,0.335,0.3312,0.3312,6048000
AAPL,17-08-1981,0.324,0.324,0.3205,0.3205,4726400
AAPL,18-08-1981,0.3168,0.3168,0.3131,0.3131,4250400
AAPL,19-08-1981,0.3131,0.3131,0.3097,0.3097,5168800
AAPL,20-08-1981,0.3131,0.315,0.3131,0.3131,4278400
AAPL,21-08-1981,0.2952,0.2952,0.2916,0.2916,10477600
AAPL,24-08-1981,0.2752,0.2752,0.2733,0.2733,5768000
AAPL,25-08-1981,0.2806,0.2824,0.2806,0.2806,10175200
AAPL,26-08-1981,0.2771,0.2771,0.2752,0.2752,8400000
AAPL,27-08-1981,0.2771,0.2788,0.2771,0.2771,6479200
AAPL,28-08-1981,0.2916,0.2933,0.2916,0.2916,9508800
AAPL,31-08-1981,0.2916,0.2933,0.2916,0.2916,10236800
AAPL,01-09-1981,0.3097,0.3114,0.3097,0.3097,9256800
AAPL,02-09-1981,0.315,0.3168,0.315,0.315,4844000
AAPL,03-09-1981,0.3024,0.3024,0.2987,0.2987,9368800
AAPL,04-09-1981,0.2969,0.2969,0.2952,0.2952,3813600
AAPL,08-09-1981,0.2878,0.2878,0.2861,0.2861,6361600
AAPL,09-09-1981,0.2861,0.2878,0.2861,0.2861,7632800
AAPL,10-09-1981,0.2878,0.2897,0.2878,0.2878,8702400
AAPL,11-09-1981,0.2861,0.2861,0.2843,0.2843,4384800
AAPL,14-09-1981,0.2771,0.2771,0.2752,0.2752,6921600
AAPL,15-09-1981,0.2698,0.2698,0.268,0.268,4877600
AAPL,16-09-1981,0.2643,0.2643,0.2625,0.2625,4838400
