Label,date,open,high,low,close,volume
DIS,02-01-1962,0.139,0.1437,0.139,0.139,408858
DIS,03-01-1962,0.139,0.1414,0.139,0.1409,389370
DIS,04-01-1962,0.1409,0.1414,0.1399,0.1409,467127
DIS,05-01-1962,0.1409,0.1418,0.1404,0.1414,467127
DIS,08-01-1962,0.1414,0.1432,0.1381,0.1409,623031
DIS,09-01-1962,0.1409,0.1437,0.1399,0.1437,311418
DIS,10-01-1962,0.1437,0.146,0.1437,0.1451,330906
DIS,11-01-1962,0.1451,0.1502,0.1446,0.1493,992914
DIS,12-01-1962,0.1493,0.1498,0.1427,0.1446,992914
DIS,15-01-1962,0.1446,0.1455,0.1437,0.1446,311418
DIS,16-01-1962,0.1437,0.1437,0.1399,0.1409,175197
DIS,17-01-1962,0.1409,0.1409,0.1362,0.1362,194685
DIS,18-01-1962,0.1371,0.1399,0.1371,0.139,155709
DIS,19-01-1962,0.1399,0.1418,0.1399,0.1418,214173
DIS,22-01-1962,0.1427,0.1442,0.1427,0.1442,175197
DIS,23-01-1962,0.1442,0.1474,0.1427,0.1437,584055
DIS,24-01-1962,0.1437,0.1437,0.1399,0.1418,175197
DIS,25-01-1962,0.1418,0.1423,0.1399,0.1399,77757
DIS,26-01-1962,0.1399,0.1418,0.139,0.139,175197
DIS,29-01-1962,0.139,0.1409,0.139,0.139,116733
DIS,30-01-1962,0.139,0.1404,0.1381,0.1399,330906
DIS,31-01-1962,0.1399,0.1404,0.139,0.1399,155709
DIS,01-02-1962,0.1399,0.1442,0.1399,0.1418,623031
DIS,02-02-1962,0.1418,0.1437,0.1418,0.1418,311418
DIS,05-02-1962,0.1418,0.1432,0.1418,0.1418,194685
DIS,06-02-1962,0.1418,0.1427,0.1409,0.1409,116733
DIS,07-02-1962,0.1418,0.1437,0.1418,0.1427,700788
DIS,08-02-1962,0.1446,0.1479,0.1446,0.1465,1031890
DIS,09-02-1962,0.147,0.1483,0.147,0.1474,506103
DIS,12-02-1962,0.1474,0.1479,0.1465,0.1474,311418
DIS,13-02-1962,0.1474,0.1474,0.1455,0.1474,311418
DIS,14-02-1962,0.147,0.147,0.1455,0.1455,97245
DIS,15-02-1962,0.146,0.147,0.146,0.1465,233661
DIS,16-02-1962,0.1474,0.1516,0.1474,0.1493,1849411
DIS,19-02-1962,0.1493,0.1493,0.147,0.147,408858
DIS,20-02-1962,0.1479,0.1483,0.1479,0.1483,116733
DIS,21-02-1962,0.1474,0.1474,0.1465,0.1465,58464
DIS,23-02-1962,0.1465,0.147,0.1455,0.1455,214173
DIS,26-02-1962,0.1437,0.1437,0.1399,0.1418,369882
DIS,27-02-1962,0.1418,0.1437,0.1409,0.1409,233661
DIS,28-02-1962,0.1409,0.1418,0.1395,0.1395,136221
DIS,01-03-1962,0.1399,0.1432,0.1399,0.1432,214173
DIS,02-03-1962,0.1432,0.1442,0.1423,0.1423,136221
DIS,05-03-1962,0.1427,0.1451,0.1427,0.1427,214173
DIS,06-03-1962,0.1427,0.1427,0.1409,0.1409,77757
DIS,07-03-1962,0.1399,0.1399,0.1399,0.1399,58464
DIS,08-03-1962,0.1399,0.1423,0.1395,0.1423,175197
DIS,09-03-1962,0.1423,0.1437,0.1418,0.1418,252954
DIS,12-03-1962,0.1423,0.1446,0.1423,0.1446,194685
DIS,13-03-1962,0.1446,0.147,0.1446,0.147,175197
DIS,14-03-1962,0.147,0.1483,0.1455,0.1455,291930
DIS,15-03-1962,0.1455,0.1474,0.1455,0.1465,136221
DIS,16-03-1962,0.1465,0.147,0.146,0.1465,58464
DIS,19-03-1962,0.1465,0.1479,0.1465,0.1465,272442
DIS,20-03-1962,0.1455,0.1455,0.1446,0.1446,116733
DIS,21-03-1962,0.1442,0.1442,0.1423,0.1423,155709
DIS,22-03-1962,0.1418,0.1418,0.1409,0.1409,58464
DIS,23-03-1962,0.1409,0.1427,0.1409,0.1409,214173
DIS,26-03-1962,0.1409,0.1418,0.1399,0.1399,97245
DIS,27-03-1962,0.139,0.139,0.1381,0.1381,116733
DIS,28-03-1962,0.1376,0.1376,0.1367,0.1371,116733
DIS,29-03-1962,0.1381,0.1395,0.1381,0.1395,155709
DIS,30-03-1962,0.1395,0.1399,0.1386,0.1395,214173
DIS,02-04-1962,0.1395,0.1409,0.1381,0.1381,136221
DIS,03-04-1962,0.1381,0.1395,0.1371,0.1371,155709
DIS,04-04-1962,0.1381,0.1381,0.1381,0.1381,77757
DIS,05-04-1962,0.1381,0.1386,0.1371,0.1371,155709
DIS,06-04-1962,0.1386,0.1409,0.1386,0.1386,194685
DIS,09-04-1962,0.1386,0.1395,0.1386,0.139,194685
DIS,10-04-1962,0.139,0.1395,0.1386,0.1386,58464
DIS,11-04-1962,0.1386,0.1399,0.1371,0.1371,155709
DIS,12-04-1962,0.1348,0.1348,0.1306,0.1306,467127
DIS,13-04-1962,0.1306,0.1306,0.1269,0.1297,584055
DIS,16-04-1962,0.1302,0.1316,0.1302,0.1316,291930
DIS,17-04-1962,0.133,0.1348,0.133,0.1343,311418
DIS,18-04-1962,0.1353,0.1371,0.1353,0.1362,311418
DIS,19-04-1962,0.1362,0.1386,0.1362,0.1362,214173
DIS,23-04-1962,0.1381,0.1386,0.1381,0.1381,291930
DIS,24-04-1962,0.1386,0.1409,0.1386,0.1399,252954
DIS,25-04-1962,0.1399,0.1414,0.1395,0.1395,447639
DIS,26-04-1962,0.139,0.139,0.1362,0.1362,194685
DIS,27-04-1962,0.1362,0.1371,0.1334,0.1334,175197
DIS,30-04-1962,0.1311,0.1311,0.1283,0.1283,214173
DIS,01-05-1962,0.1283,0.1306,0.1278,0.1297,233661
DIS,02-05-1962,0.1297,0.1316,0.1288,0.1306,155709
DIS,03-05-1962,0.1306,0.1306,0.1292,0.1297,175197
DIS,04-05-1962,0.1297,0.1306,0.1297,0.1297,116733
DIS,07-05-1962,0.1288,0.1288,0.1278,0.1278,155709
DIS,08-05-1962,0.1278,0.1297,0.125,0.125,252954
DIS,09-05-1962,0.1232,0.1232,0.1204,0.1213,408858
DIS,10-05-1962,0.1204,0.1204,0.1194,0.1194,272442
DIS,11-05-1962,0.1194,0.1213,0.1138,0.1166,389370
DIS,14-05-1962,0.1166,0.1232,0.1166,0.1232,350394
DIS,15-05-1962,0.1232,0.1241,0.1232,0.1241,175197
DIS,16-05-1962,0.1232,0.1232,0.1204,0.1204,136221
DIS,17-05-1962,0.1204,0.1204,0.1176,0.1185,136221
DIS,18-05-1962,0.1185,0.1194,0.1185,0.1194,175197
DIS,21-05-1962,0.1194,0.1194,0.1185,0.1194,58464
