Label,date,open,high,low,close,volume
JNJ,02-01-1970,0.4558,0.4571,0.4444,0.4444,1195200
JNJ,05-01-1970,0.4444,0.4457,0.433,0.4337,964800
JNJ,06-01-1970,0.4337,0.4419,0.4318,0.4419,1036800
JNJ,07-01-1970,0.4419,0.4432,0.4387,0.44,331200
JNJ,08-01-1970,0.44,0.447,0.44,0.4432,460800
JNJ,09-01-1970,0.4457,0.452,0.4457,0.4457,748800
JNJ,12-01-1970,0.4457,0.4457,0.4381,0.4381,864000
JNJ,13-01-1970,0.4394,0.4457,0.4394,0.4419,849600
JNJ,14-01-1970,0.4419,0.4495,0.4419,0.4482,619200
JNJ,15-01-1970,0.4482,0.4495,0.4476,0.4489,1209600
JNJ,16-01-1970,0.4489,0.4489,0.447,0.4482,734400
JNJ,19-01-1970,0.4476,0.4476,0.4419,0.4425,1180800
JNJ,20-01-1970,0.4425,0.4425,0.4349,0.4425,763200
JNJ,21-01-1970,0.4425,0.4444,0.4413,0.4444,878400
JNJ,22-01-1970,0.4444,0.4457,0.4419,0.4457,360000
JNJ,23-01-1970,0.4457,0.447,0.4425,0.4432,979200
JNJ,26-01-1970,0.4432,0.4432,0.4406,0.4432,979200
JNJ,27-01-1970,0.4413,0.4413,0.4381,0.4381,532800
JNJ,28-01-1970,0.4343,0.4343,0.4141,0.4141,1497600
JNJ,29-01-1970,0.4128,0.4128,0.3913,0.4052,3585600
JNJ,30-01-1970,0.4001,0.4001,0.3925,0.4001,2808000
JNJ,02-02-1970,0.4046,0.4204,0.4046,0.4204,1612800
JNJ,03-02-1970,0.4204,0.4381,0.4179,0.4179,2692800
JNJ,04-02-1970,0.4134,0.4134,0.3944,0.3995,2793600
JNJ,05-02-1970,0.3995,0.4179,0.3982,0.4179,1886400
JNJ,06-02-1970,0.4153,0.4153,0.4103,0.4128,705600
JNJ,09-02-1970,0.4229,0.4343,0.4229,0.4311,1684800
JNJ,10-02-1970,0.4381,0.4432,0.4381,0.4394,2505600
JNJ,11-02-1970,0.4381,0.4381,0.4337,0.4356,2232000
JNJ,12-02-1970,0.4356,0.4356,0.4169,0.4198,3369600
