Label,date,open,high,low,close,volume
KO,02-01-1962,0.0637,0.0654,0.0637,0.0637,6451200
KO,03-01-1962,0.0627,0.0627,0.0613,0.0623,12595200
KO,04-01-1962,0.0624,0.0632,0.0624,0.0627,6758400
KO,05-01-1962,0.0627,0.0635,0.0612,0.0613,11366400
KO,08-01-1962,0.0608,0.0608,0.0595,0.0607,16281600
KO,09-01-1962,0.0607,0.0621,0.0602,0.0618,7680000
KO,10-01-1962,0.0618,0.063,0.0612,0.0621,12902400
KO,11-01-1962,0.0621,0.0627,0.0618,0.0627,4915200
KO,12-01-1962,0.0627,0.0627,0.0616,0.0623,7065600
KO,15-01-1962,0.0621,0.0621,0.0615,0.0616,4915200
KO,16-01-1962,0.0615,0.0615,0.0605,0.0605,8908800
KO,17-01-1962,0.0605,0.0605,0.0586,0.0586,12595200
KO,18-01-1962,0.0586,0.059,0.0572,0.0575,21196800
KO,19-01-1962,0.058,0.0593,0.058,0.0593,11673600
KO,22-01-1962,0.0593,0.0599,0.0586,0.0597,8601600
KO,23-01-1962,0.0596,0.0596,0.0585,0.0585,6144000
KO,24-01-1962,0.0585,0.0586,0.0567,0.0578,20889600
KO,25-01-1962,0.0578,0.0588,0.0574,0.0574,12595200
KO,26-01-1962,0.0574,0.0574,0.0564,0.0567,12595200
KO,29-01-1962,0.0567,0.0569,0.0566,0.0567,2457600
KO,30-01-1962,0.0567,0.0572,0.0565,0.0565,12595200
KO,31-01-1962,0.0567,0.0588,0.0567,0.0588,14131200
KO,01-02-1962,0.0593,0.0602,0.0593,0.0593,11366400
KO,02-02-1962,0.0593,0.0599,0.0583,0.0599,9216000
KO,05-02-1962,0.0599,0.0599,0.0594,0.0599,3072000
KO,06-02-1962,0.0599,0.0599,0.0591,0.0591,5529600
KO,07-02-1962,0.0591,0.0594,0.0591,0.0594,1536000
KO,08-02-1962,0.0594,0.0599,0.0588,0.0596,6144000
KO,09-02-1962,0.0596,0.0599,0.0593,0.0599,5836800
KO,12-02-1962,0.0599,0.0601,0.0594,0.0594,2457600
KO,13-02-1962,0.0594,0.0597,0.0594,0.0594,5222400
KO,14-02-1962,0.0594,0.0594,0.0583,0.0583,5222400
KO,15-02-1962,0.0583,0.0588,0.058,0.058,5222400
KO,16-02-1962,0.058,0.0591,0.058,0.058,9523200
KO,19-02-1962,0.0585,0.059,0.0585,0.059,2764800
KO,20-02-1962,0.059,0.0591,0.0585,0.0586,3686400
KO,21-02-1962,0.0586,0.0591,0.0583,0.0583,5529600
KO,23-02-1962,0.0583,0.0591,0.0577,0.0577,8294400
KO,26-02-1962,0.0577,0.0591,0.0574,0.0586,6144000
KO,27-02-1962,0.0586,0.0591,0.0586,0.059,3686400
KO,28-02-1962,0.0588,0.0588,0.0577,0.0578,5222400
KO,01-03-1962,0.0578,0.0578,0.0567,0.0575,156364800
KO,02-03-1962,0.0577,0.0582,0.0577,0.0582,6451200
KO,05-03-1962,0.0582,0.0582,0.0574,0.0574,5222400
KO,06-03-1962,0.058,0.0586,0.058,0.0586,7065600
KO,07-03-1962,0.0586,0.0586,0.0578,0.0578,5529600
KO,08-03-1962,0.0578,0.0585,0.0577,0.058,7065600
KO,09-03-1962,0.058,0.0582,0.0569,0.0574,8908800
KO,12-03-1962,0.058,0.0586,0.058,0.0586,7987200
KO,13-03-1962,0.0588,0.0592,0.0588,0.0592,10752000
KO,14-03-1962,0.0592,0.0595,0.059,0.0593,13516800
KO,15-03-1962,0.0593,0.0595,0.059,0.059,7065600
KO,16-03-1962,0.059,0.0592,0.059,0.059,6144000
KO,19-03-1962,0.059,0.0596,0.059,0.0593,7372800
KO,20-03-1962,0.0593,0.0599,0.0593,0.0599,10444800
KO,21-03-1962,0.0603,0.061,0.0603,0.0607,17510400
KO,22-03-1962,0.0609,0.0617,0.0609,0.0614,10752000
KO,23-03-1962,0.0618,0.0629,0.0618,0.0625,11980800
KO,26-03-1962,0.0625,0.0629,0.0615,0.0617,11366400
KO,27-03-1962,0.0614,0.0614,0.0609,0.0612,6758400
KO,28-03-1962,0.0612,0.0612,0.0607,0.0607,3686400
KO,29-03-1962,0.0607,0.0615,0.0606,0.0609,8294400
KO,30-03-1962,0.0609,0.0609,0.0599,0.0599,11059200
KO,02-04-1962,0.0599,0.061,0.0596,0.0607,9216000
KO,03-04-1962,0.0607,0.061,0.0584,0.0588,9830400
KO,04-04-1962,0.0593,0.0604,0.0593,0.0596,11673600
KO,05-04-1962,0.0596,0.0602,0.0593,0.0596,8294400
KO,06-04-1962,0.0599,0.0609,0.0599,0.0606,5836800
KO,09-04-1962,0.0607,0.0612,0.0607,0.0607,4300800
KO,10-04-1962,0.0607,0.0612,0.0607,0.0607,4915200
KO,11-04-1962,0.0607,0.061,0.0591,0.0593,7065600
KO,12-04-1962,0.059,0.059,0.0581,0.0582,8601600
KO,13-04-1962,0.0582,0.0599,0.0573,0.0599,14438400
KO,16-04-1962,0.0599,0.0609,0.0598,0.0601,17817600
KO,17-04-1962,0.0601,0.0607,0.0596,0.0604,9216000
KO,18-04-1962,0.0604,0.0607,0.0603,0.0607,5529600
KO,19-04-1962,0.0607,0.0608,0.0604,0.0608,6451200
KO,23-04-1962,0.0608,0.0615,0.0607,0.0609,5529600
KO,24-04-1962,0.0609,0.0612,0.0604,0.0612,7065600
KO,25-04-1962,0.061,0.061,0.0604,0.0604,3379200
KO,26-04-1962,0.0604,0.0607,0.0596,0.0601,6451200
KO,27-04-1962,0.0601,0.0607,0.0598,0.0607,7065600
KO,30-04-1962,0.0601,0.0601,0.0581,0.0584,11059200
KO,01-05-1962,0.0584,0.0593,0.0581,0.0592,12595200
KO,02-05-1962,0.0595,0.0599,0.0595,0.0599,10444800
KO,03-05-1962,0.0599,0.0606,0.0596,0.0606,6758400
KO,04-05-1962,0.0606,0.0608,0.0601,0.0601,4300800
KO,07-05-1962,0.0601,0.0606,0.0595,0.0595,5529600
KO,08-05-1962,0.0595,0.0603,0.0588,0.0588,9523200
KO,09-05-1962,0.0587,0.0587,0.0576,0.0576,10137600
KO,10-05-1962,0.0576,0.0577,0.0568,0.0571,15360000
KO,11-05-1962,0.0571,0.0576,0.0547,0.0552,19046400
KO,14-05-1962,0.0552,0.0555,0.0528,0.0543,25497600
KO,15-05-1962,0.0546,0.0576,0.0546,0.0569,20275200
KO,16-05-1962,0.0569,0.0574,0.0568,0.0571,12902400
KO,17-05-1962,0.0571,0.0575,0.0565,0.0565,19968000
KO,18-05-1962,0.0565,0.0566,0.0557,0.0566,6451200
KO,21-05-1962,0.0566,0.0568,0.0563,0.0566,7680000
KO,22-05-1962,0.0566,0.0566,0.0547,0.0549,11366400
KO,23-05-1962,0.0548,0.0548,0.054,0.0543,18739200
KO,24-05-1962,0.054,0.054,0.0532,0.0532,21504000
KO,25-05-1962,0.0532,0.0536,0.0521,0.0525,22732800
KO,28-05-1962,0.0525,0.0525,0.0478,0.0498,35020800
KO,29-05-1962,0.0498,0.051,0.0442,0.051,59289600
KO,31-05-1962,0.0519,0.0533,0.0519,0.053,38092800
KO,01-06-1962,0.053,0.0535,0.0517,0.0524,21504000
KO,04-06-1962,0.0521,0.0521,0.0483,0.0483,27648000
KO,05-06-1962,0.0484,0.0521,0.0484,0.0502,21504000
KO,06-06-1962,0.0503,0.0513,0.0503,0.0508,10752000
KO,07-06-1962,0.0508,0.0511,0.0506,0.051,5529600
KO,08-06-1962,0.051,0.0521,0.051,0.0521,11366400
KO,11-06-1962,0.0521,0.0524,0.0516,0.0518,18432000
