Label,date,open,high,low,close,volume
MA,25-05-2006,3.8179,4.4715,3.8084,4.3579,395343000
MA,26-05-2006,4.3872,4.428,4.1788,4.2565,103044000
MA,30-05-2006,4.2603,4.2612,4.0594,4.1684,49898000
MA,31-05-2006,4.2015,4.2972,4.2015,4.2574,30002000
MA,01-06-2006,4.2565,4.5568,4.2536,4.5009,62344000
MA,02-06-2006,4.5009,4.6136,4.4327,4.4516,37253000
MA,05-06-2006,4.4573,4.7131,4.4526,4.6563,37188000
MA,06-06-2006,4.6999,4.7965,4.5284,4.5758,49045000
MA,07-06-2006,4.5786,4.5852,4.4289,4.5094,25013000
MA,08-06-2006,4.4763,4.5208,4.3105,4.5208,34439000
MA,09-06-2006,4.6231,4.6231,4.517,4.5388,13372000
MA,12-06-2006,4.5416,4.571,4.3863,4.4479,14546000
MA,13-06-2006,4.4289,4.4858,4.2915,4.3105,16716000
MA,14-06-2006,4.2887,4.3058,4.2101,4.2745,15971000
MA,15-06-2006,4.301,4.3692,4.2754,4.3531,16500000
MA,16-06-2006,4.3531,4.3579,4.2631,4.265,12280000
MA,19-06-2006,4.2679,4.3058,4.1779,4.2006,11509000
MA,20-06-2006,4.2385,4.2631,4.1182,4.1703,23792000
MA,21-06-2006,4.1703,4.3815,4.1684,4.2915,18063000
MA,22-06-2006,4.3958,4.4526,4.3465,4.4147,13038000
MA,23-06-2006,4.4526,4.5407,4.4403,4.4479,11612000
MA,26-06-2006,4.4526,4.5,4.3986,4.5,8565000
MA,27-06-2006,4.5,4.5502,4.4763,4.482,9826000
MA,28-06-2006,4.4384,4.4905,4.4052,4.4488,8756000
MA,29-06-2006,4.4479,4.5559,4.4479,4.5473,14470000
MA,30-06-2006,4.5142,4.5473,4.4147,4.5473,25964000
MA,03-07-2006,4.5379,4.5473,4.4346,4.481,7029000
MA,05-07-2006,4.4905,4.5322,4.4251,4.5094,13266000
MA,06-07-2006,4.4526,4.4858,4.4327,4.4336,8097000
MA,07-07-2006,4.4289,4.4384,4.3342,4.3692,8380000
MA,10-07-2006,4.3768,4.4119,4.3692,4.4043,4978000
MA,11-07-2006,4.4043,4.4043,4.2915,4.391,8079000
MA,12-07-2006,4.3958,4.3958,4.3143,4.3152,7672000
MA,13-07-2006,4.2802,4.2802,4.1968,4.2366,16625000
MA,14-07-2006,4.2271,4.2328,4.1589,4.1636,9663000
MA,17-07-2006,4.1779,4.1845,4.1447,4.1674,6458000
MA,18-07-2006,4.1674,4.1779,4.1371,4.1589,12483000
MA,19-07-2006,4.1599,4.3058,4.1494,4.2896,15840000
MA,20-07-2006,4.301,4.337,4.2726,4.3152,8829000
MA,21-07-2006,4.3152,4.3152,4.2413,4.2896,8510000
MA,24-07-2006,4.3058,4.3133,4.2622,4.2631,5017000
MA,25-07-2006,4.2821,4.3958,4.2783,4.3654,6900000
MA,26-07-2006,4.3711,4.5331,4.3389,4.4223,10338000
MA,27-07-2006,4.4431,4.4687,4.4071,4.4071,6009000
MA,28-07-2006,4.4062,4.4336,4.3825,4.3863,4339000
MA,31-07-2006,4.3863,4.3967,4.3446,4.3455,4616000
MA,01-08-2006,4.3503,4.3503,4.2347,4.2631,7390000
MA,02-08-2006,4.5473,4.7415,4.482,4.7387,53372000
MA,03-08-2006,4.6544,4.7595,4.6089,4.7359,21689000
MA,04-08-2006,4.7652,4.8789,4.7359,4.7415,14216000
MA,07-08-2006,4.7605,4.86,4.7605,4.841,6918000
MA,08-08-2006,4.841,4.9897,4.8363,4.9803,14073000
MA,09-08-2006,5.021,5.1631,4.9263,5.0068,15043000
MA,10-08-2006,4.9452,5.1072,4.9357,5.0741,8725000
MA,11-08-2006,5.0684,5.1584,5.0447,5.0854,9078000
MA,14-08-2006,5.0921,5.1669,5.0703,5.1375,6314000
MA,15-08-2006,5.1821,5.2039,5.1404,5.1622,8553000
MA,16-08-2006,5.1773,5.2512,5.1309,5.1413,15344000
MA,17-08-2006,5.1347,5.1385,5.039,5.0646,10216000
MA,18-08-2006,5.0305,5.0826,4.9699,5.0636,9343000
MA,21-08-2006,5.0494,5.2626,5.0021,5.1404,12487000
MA,22-08-2006,5.1347,5.2578,5.1347,5.2323,9761000
MA,23-08-2006,5.256,5.2815,5.1671,5.1726,10439000
MA,24-08-2006,5.201,5.291,5.1934,5.2721,5420000
MA,25-08-2006,5.2815,5.2912,5.2039,5.2105,8016000
MA,28-08-2006,5.1963,5.2531,5.1883,5.2124,3748000
MA,29-08-2006,5.2342,5.2721,5.2257,5.2436,3211000
MA,30-08-2006,5.256,5.284,5.2266,5.2342,5801000
MA,31-08-2006,5.2342,5.3213,5.2342,5.2957,7023000
MA,01-09-2006,5.3024,5.4473,5.3024,5.3573,20559000
MA,05-09-2006,5.3905,5.4227,5.3289,5.3857,4618000
MA,06-09-2006,5.3905,5.5781,5.3592,5.5781,15694000
MA,07-09-2006,5.543,5.7666,5.5421,5.6955,26549000
MA,08-09-2006,5.7789,5.8026,5.6169,5.6605,15176000
MA,11-09-2006,5.6605,5.8727,5.6463,5.8613,17064000
MA,12-09-2006,5.778,5.8878,5.778,5.8831,16992000
MA,13-09-2006,5.8736,5.9021,5.7694,5.8121,12355000
MA,14-09-2006,5.7647,5.9921,5.7505,5.9485,13010000
MA,15-09-2006,5.9485,6.1768,5.9485,6.155,19314000
MA,18-09-2006,6.2279,6.3994,6.0915,6.1692,23656000
MA,19-09-2006,6.1578,6.2668,6.0915,6.1427,17263000
MA,20-09-2006,6.1673,6.3189,6.1105,6.3047,13476000
MA,21-09-2006,6.3975,6.5936,6.3483,6.5415,29063000
MA,22-09-2006,6.5368,6.5842,6.1654,6.2459,29874000
MA,25-09-2006,6.1815,6.2242,5.8926,6.101,35677000
MA,26-09-2006,6.0063,6.3786,5.9456,6.2526,39969000
MA,27-09-2006,6.3472,6.4326,6.2005,6.4269,19633000
MA,28-09-2006,6.4089,6.5283,6.4089,6.5036,13395000
MA,29-09-2006,6.5036,6.6742,6.4004,6.6647,20056000
MA,02-10-2006,6.6647,6.6647,6.599,6.6277,17393000
MA,03-10-2006,6.4799,6.7168,6.4799,6.6012,16733000
MA,04-10-2006,6.6315,6.6704,6.5131,6.587,13679000
MA,05-10-2006,6.6189,6.9148,6.5458,6.8854,25756000
MA,06-10-2006,6.8674,7.1946,6.8304,7.1282,35410000
MA,09-10-2006,6.8532,6.9461,6.7299,6.9053,37084000
MA,10-10-2006,6.7488,6.948,6.6872,6.8209,26764000
MA,11-10-2006,6.7299,6.7346,6.4766,6.5923,35483000
MA,12-10-2006,6.5544,6.7175,6.5183,6.6786,15117000
MA,13-10-2006,6.7346,6.801,6.6227,6.6483,11321000
MA,16-10-2006,6.6397,6.8019,6.6255,6.7631,8802000
MA,17-10-2006,6.7441,6.7536,6.5705,6.5923,9865000
MA,18-10-2006,6.6028,6.7517,6.5961,6.6824,8562000
MA,19-10-2006,6.6824,6.9148,6.616,6.8608,13414000
MA,20-10-2006,6.9053,6.9101,6.7346,6.7555,5264000
MA,23-10-2006,6.7678,6.7934,6.6209,6.6635,7389000
MA,24-10-2006,6.654,6.782,6.6322,6.7536,8512000
MA,25-10-2006,6.7583,6.7583,6.6872,6.7109,11349000
MA,26-10-2006,6.7204,7.0192,6.6293,6.8484,21152000
MA,27-10-2006,6.7346,6.9243,6.5449,6.8902,26741000
MA,30-10-2006,6.8883,6.9812,6.8057,6.8807,17471000
MA,31-10-2006,6.856,7.2326,6.8238,7.0286,35930000
MA,01-11-2006,7.7932,8.2997,7.7543,8.0692,141283000
MA,02-11-2006,7.8823,8.3547,7.8254,8.3092,62536000
MA,03-11-2006,8.3149,8.5131,8.2304,8.4903,42476000
MA,06-11-2006,8.5368,9.2141,8.5359,9.1344,97749000
MA,07-11-2006,9.068,9.1221,8.7645,8.7739,71623000
MA,08-11-2006,8.6791,8.7265,8.3519,8.3888,64172000
MA,09-11-2006,8.6412,8.7597,8.3661,8.3661,62982000
MA,10-11-2006,8.4078,8.5842,8.3243,8.4609,27782000
MA,13-11-2006,8.9105,9.2947,8.8489,9.1581,114166000
MA,14-11-2006,9.1818,9.2236,8.9532,9.0301,38524000
