Label,date,open,high,low,close,volume
MCD,02-01-1970,0.1989,0.2047,0.1989,0.2047,2825604
MCD,05-01-1970,0.2047,0.2082,0.2035,0.2082,2210450
MCD,06-01-1970,0.2082,0.2116,0.2082,0.2093,1951169
MCD,07-01-1970,0.2093,0.2116,0.2082,0.2082,2728769
MCD,08-01-1970,0.2082,0.2099,0.2082,0.2082,2242404
MCD,09-01-1970,0.2082,0.2088,0.2012,0.2024,3288033
MCD,12-01-1970,0.2024,0.2029,0.192,0.1943,2462441
MCD,13-01-1970,0.1931,0.1931,0.1891,0.1908,2380793
MCD,14-01-1970,0.1908,0.1914,0.1891,0.1914,1003955
MCD,15-01-1970,0.1914,0.1914,0.1891,0.1903,1869642
MCD,16-01-1970,0.1903,0.1908,0.1862,0.1885,1635147
MCD,19-01-1970,0.1885,0.1891,0.181,0.181,1286442
MCD,20-01-1970,0.181,0.1862,0.1769,0.1862,2851241
MCD,21-01-1970,0.1862,0.1908,0.185,0.185,1188756
MCD,22-01-1970,0.185,0.1873,0.181,0.1816,1966356
MCD,23-01-1970,0.1827,0.185,0.1827,0.1833,1829547
MCD,26-01-1970,0.1821,0.1821,0.1799,0.1804,1700028
MCD,27-01-1970,0.1804,0.181,0.1793,0.1804,1853604
MCD,28-01-1970,0.1804,0.1804,0.1769,0.1775,1869642
MCD,29-01-1970,0.1775,0.1781,0.1718,0.1723,3262397
MCD,30-01-1970,0.1723,0.1752,0.1723,0.1746,2971161
MCD,02-02-1970,0.1769,0.1816,0.1769,0.1804,3651197
MCD,03-02-1970,0.1804,0.1943,0.1804,0.1873,4039997
MCD,04-02-1970,0.1879,0.1943,0.1879,0.192,1440747
MCD,05-02-1970,0.192,0.1943,0.1897,0.1943,324041
MCD,06-02-1970,0.1972,0.2047,0.1972,0.2047,1480842
MCD,09-02-1970,0.2047,0.2082,0.2035,0.2041,929597
MCD,10-02-1970,0.2035,0.2035,0.1978,0.1995,760833
MCD,11-02-1970,0.1995,0.2001,0.1931,0.1983,2355156
MCD,12-02-1970,0.1983,0.1989,0.1943,0.196,655250
MCD,13-02-1970,0.196,0.1995,0.1943,0.1995,703242
MCD,16-02-1970,0.1995,0.2012,0.1972,0.1978,420755
MCD,17-02-1970,0.1978,0.1989,0.1943,0.1966,777600
MCD,18-02-1970,0.1983,0.2053,0.1983,0.2041,1068836
MCD,19-02-1970,0.2059,0.2093,0.2059,0.2059,3434441
MCD,20-02-1970,0.2029,0.2029,0.2012,0.2029,1684841
