Label,date,open,high,low,close,volume
MSFT,13-03-1986,0.0582,0.0667,0.0582,0.0639,1031788800
MSFT,14-03-1986,0.0639,0.0673,0.0639,0.0662,308160000
MSFT,17-03-1986,0.0662,0.0679,0.0662,0.0673,133171200
MSFT,18-03-1986,0.0673,0.0679,0.065,0.0656,67766400
MSFT,19-03-1986,0.0656,0.0662,0.0639,0.0645,47894400
MSFT,20-03-1986,0.0645,0.0645,0.0622,0.0628,58435200
MSFT,21-03-1986,0.0628,0.0639,0.0599,0.061,59990400
MSFT,24-03-1986,0.061,0.061,0.0588,0.0593,65289600
MSFT,25-03-1986,0.0593,0.0605,0.0588,0.0605,32083200
MSFT,26-03-1986,0.0605,0.0628,0.0599,0.0622,22752000
MSFT,27-03-1986,0.0622,0.0633,0.0622,0.0633,16848000
MSFT,31-03-1986,0.0633,0.0633,0.0616,0.0628,12873600
MSFT,01-04-1986,0.0628,0.0628,0.0622,0.0622,11088000
MSFT,02-04-1986,0.0622,0.0639,0.0622,0.0628,27014400
MSFT,03-04-1986,0.0633,0.065,0.0633,0.0633,23040000
MSFT,04-04-1986,0.0633,0.0639,0.0633,0.0633,26582400
MSFT,07-04-1986,0.0633,0.0639,0.061,0.0622,16560000
MSFT,08-04-1986,0.0622,0.0639,0.0622,0.0628,10252800
MSFT,09-04-1986,0.0628,0.0645,0.0628,0.0639,12153600
MSFT,10-04-1986,0.0639,0.065,0.0628,0.0645,13881600
MSFT,11-04-1986,0.065,0.0667,0.065,0.0656,17222400
MSFT,14-04-1986,0.0656,0.0667,0.0656,0.0662,12153600
MSFT,15-04-1986,0.0662,0.0662,0.0639,0.0662,9302400
MSFT,16-04-1986,0.0662,0.069,0.0656,0.0685,31910400
MSFT,17-04-1986,0.0685,0.069,0.0685,0.069,22003200
MSFT,18-04-1986,0.069,0.069,0.0662,0.0667,21628800
MSFT,21-04-1986,0.0667,0.0673,0.065,0.0667,22924800
MSFT,22-04-1986,0.0667,0.0667,0.0656,0.0656,15552000
MSFT,23-04-1986,0.0656,0.0662,0.065,0.0659,15609600
MSFT,24-04-1986,0.0659,0.0736,0.0656,0.0725,62352000
MSFT,25-04-1986,0.073,0.0802,0.073,0.077,85795200
MSFT,28-04-1986,0.077,0.0782,0.0764,0.0776,28886400
MSFT,29-04-1986,0.0776,0.0776,0.0747,0.0753,30326400
MSFT,30-04-1986,0.0753,0.0759,0.0719,0.0736,30902400
MSFT,01-05-1986,0.0736,0.0736,0.0713,0.0725,54345600
MSFT,02-05-1986,0.0725,0.0736,0.0719,0.0725,20246400
MSFT,05-05-1986,0.0725,0.0725,0.0719,0.0719,3254400
MSFT,06-05-1986,0.0725,0.0736,0.0725,0.0725,9734400
MSFT,07-05-1986,0.0725,0.073,0.0713,0.0725,5155200
MSFT,08-05-1986,0.0725,0.073,0.0719,0.073,3542400
MSFT,09-05-1986,0.073,0.073,0.0725,0.0725,6076800
MSFT,12-05-1986,0.0725,0.0747,0.0725,0.073,10483200
MSFT,13-05-1986,0.073,0.0742,0.073,0.0736,3830400
MSFT,14-05-1986,0.0736,0.0736,0.073,0.073,9302400
MSFT,15-05-1986,0.073,0.0742,0.073,0.073,3801600
MSFT,16-05-1986,0.073,0.0753,0.073,0.0736,11952000
MSFT,19-05-1986,0.0736,0.0736,0.0719,0.0725,11001600
MSFT,20-05-1986,0.0725,0.0725,0.0713,0.0719,61977600
MSFT,21-05-1986,0.0719,0.0725,0.0707,0.0707,8092800
MSFT,22-05-1986,0.0707,0.0713,0.0707,0.0707,4406400
MSFT,23-05-1986,0.0707,0.0719,0.0707,0.0707,4089600
MSFT,27-05-1986,0.0707,0.073,0.0707,0.073,13881600
MSFT,28-05-1986,0.073,0.0753,0.073,0.0753,15523200
MSFT,29-05-1986,0.0753,0.0782,0.0747,0.077,45676800
MSFT,30-05-1986,0.0776,0.081,0.0776,0.0799,27072000
MSFT,02-06-1986,0.0799,0.0799,0.0776,0.0776,19728000
MSFT,03-06-1986,0.0776,0.0776,0.0764,0.0776,5011200
MSFT,04-06-1986,0.0776,0.0782,0.0764,0.077,4723200
MSFT,05-06-1986,0.077,0.0782,0.0764,0.0782,13708800
MSFT,06-06-1986,0.0782,0.0782,0.077,0.0782,3427200
MSFT,09-06-1986,0.0782,0.0782,0.0747,0.0747,12672000
MSFT,10-06-1986,0.0747,0.0747,0.0736,0.0747,3427200
MSFT,11-06-1986,0.0747,0.0747,0.0736,0.0747,2304000
MSFT,12-06-1986,0.0747,0.0747,0.0713,0.0719,13708800
MSFT,13-06-1986,0.0719,0.0725,0.0713,0.0719,7891200
MSFT,16-06-1986,0.0719,0.0725,0.0707,0.0713,9590400
MSFT,17-06-1986,0.0719,0.0736,0.0719,0.0725,13075200
MSFT,18-06-1986,0.0725,0.0725,0.0707,0.0719,4348800
MSFT,19-06-1986,0.0719,0.0725,0.0707,0.0713,8467200
MSFT,20-06-1986,0.0713,0.0719,0.0713,0.0716,3801600
