Label,date,open,high,low,close,volume
PEP,01-06-1972,0.7806,0.7826,0.7736,0.7826,318600
PEP,02-06-1972,0.7826,0.7906,0.7804,0.7804,140400
PEP,05-06-1972,0.7804,0.7815,0.7543,0.769,469800
PEP,06-06-1972,0.7623,0.7623,0.76,0.7623,140400
PEP,07-06-1972,0.7623,0.7634,0.7555,0.7577,178200
PEP,08-06-1972,0.7577,0.76,0.7532,0.7577,432000
PEP,09-06-1972,0.7577,0.76,0.7566,0.7588,199800
PEP,12-06-1972,0.7588,0.76,0.7555,0.7566,183600
PEP,13-06-1972,0.7577,0.7657,0.7577,0.7657,415800
PEP,14-06-1972,0.768,0.7758,0.768,0.7736,216000
PEP,15-06-1972,0.7736,0.7758,0.7702,0.7713,178200
PEP,16-06-1972,0.7713,0.7758,0.7668,0.7702,183600
PEP,19-06-1972,0.7702,0.7736,0.7623,0.768,324000
PEP,20-06-1972,0.768,0.769,0.7645,0.768,129600
PEP,21-06-1972,0.768,0.7736,0.7657,0.769,356400
PEP,22-06-1972,0.769,0.7747,0.7668,0.7736,324000
PEP,23-06-1972,0.7736,0.7793,0.7736,0.7781,275400
PEP,26-06-1972,0.7781,0.7781,0.7713,0.7713,194400
PEP,27-06-1972,0.7713,0.7736,0.7668,0.7668,669600
PEP,28-06-1972,0.7668,0.768,0.7645,0.7657,75600
PEP,29-06-1972,0.7657,0.7702,0.7555,0.7657,280800
PEP,30-06-1972,0.7657,0.769,0.7566,0.7588,135000
PEP,03-07-1972,0.7588,0.76,0.7532,0.7577,216000
PEP,05-07-1972,0.7577,0.7588,0.7487,0.7588,372600
PEP,06-07-1972,0.7588,0.7747,0.7588,0.7668,793800
PEP,07-07-1972,0.7657,0.7657,0.7555,0.7555,259200
PEP,10-07-1972,0.7555,0.7623,0.7487,0.7555,372600
PEP,11-07-1972,0.7555,0.7634,0.752,0.7611,1080000
PEP,12-07-1972,0.7611,0.7657,0.7611,0.7623,367200
PEP,13-07-1972,0.7623,0.7668,0.7577,0.7668,302400
PEP,14-07-1972,0.768,0.7962,0.768,0.7939,993600
PEP,17-07-1972,0.7939,0.8007,0.7861,0.7894,561600
PEP,18-07-1972,0.7894,0.7894,0.7781,0.7804,302400
PEP,19-07-1972,0.7804,0.7826,0.7713,0.7713,356400
PEP,20-07-1972,0.769,0.769,0.7645,0.7645,243000
PEP,21-07-1972,0.7645,0.7702,0.7623,0.7668,275400
PEP,24-07-1972,0.7668,0.7713,0.7668,0.768,410400
PEP,25-07-1972,0.769,0.7747,0.769,0.7702,469800
PEP,26-07-1972,0.7702,0.7758,0.7702,0.7758,145800
PEP,27-07-1972,0.7758,0.8018,0.7736,0.8007,739800
PEP,28-07-1972,0.8007,0.803,0.7917,0.7917,318600
PEP,31-07-1972,0.7917,0.7962,0.7883,0.7906,167400
PEP,01-08-1972,0.7906,0.7984,0.7883,0.7984,783000
PEP,02-08-1972,0.7984,0.8098,0.7962,0.8052,523800
PEP,03-08-1972,0.8052,0.8063,0.7939,0.7962,410400
PEP,04-08-1972,0.7962,0.7962,0.7826,0.7962,432000
PEP,07-08-1972,0.795,0.795,0.7871,0.795,151200
PEP,08-08-1972,0.795,0.795,0.7883,0.7906,329400
PEP,09-08-1972,0.7906,0.7928,0.7793,0.7917,669600
PEP,10-08-1972,0.7917,0.7917,0.7883,0.7917,372600
PEP,11-08-1972,0.7917,0.7962,0.7894,0.7928,480600
PEP,14-08-1972,0.795,0.8086,0.795,0.7973,756000
PEP,15-08-1972,0.7973,0.803,0.7939,0.795,291600
PEP,16-08-1972,0.795,0.7984,0.7928,0.7928,194400
PEP,17-08-1972,0.7928,0.7973,0.7928,0.7939,280800
PEP,18-08-1972,0.7939,0.7962,0.7917,0.795,923400
PEP,21-08-1972,0.795,0.7984,0.7939,0.7984,378000
PEP,22-08-1972,0.7984,0.803,0.7962,0.7984,248400
PEP,23-08-1972,0.7984,0.8041,0.7962,0.7962,172800
PEP,24-08-1972,0.7962,0.7984,0.7871,0.7894,691200
PEP,25-08-1972,0.7894,0.7917,0.7826,0.7894,491400
PEP,28-08-1972,0.7894,0.7917,0.7861,0.7861,210600
PEP,29-08-1972,0.7883,0.7962,0.7883,0.7928,286200
PEP,30-08-1972,0.7928,0.795,0.7871,0.7871,329400
PEP,31-08-1972,0.7849,0.7849,0.7804,0.7804,270000
PEP,01-09-1972,0.7804,0.7861,0.777,0.7861,507600
PEP,05-09-1972,0.7826,0.7826,0.7781,0.7781,113400
PEP,06-09-1972,0.7781,0.7826,0.7747,0.777,799200
PEP,07-09-1972,0.777,0.7793,0.7725,0.7725,156600
PEP,08-09-1972,0.7725,0.7736,0.7668,0.768,178200
PEP,11-09-1972,0.768,0.768,0.7623,0.768,216000
PEP,12-09-1972,0.768,0.769,0.7645,0.7657,426600
PEP,13-09-1972,0.7645,0.7645,0.7634,0.7645,221400
PEP,14-09-1972,0.7645,0.769,0.7634,0.7657,567000
PEP,15-09-1972,0.7657,0.7668,0.7487,0.7509,750600
PEP,18-09-1972,0.7509,0.7509,0.7362,0.7442,637200
PEP,19-09-1972,0.7442,0.7442,0.7339,0.7339,275400
PEP,20-09-1972,0.7329,0.7329,0.7261,0.7318,324000
PEP,21-09-1972,0.7318,0.7329,0.7261,0.7329,378000
PEP,22-09-1972,0.7329,0.7351,0.717,0.7205,372600
PEP,25-09-1972,0.7205,0.7238,0.7057,0.7057,2748600
PEP,26-09-1972,0.7057,0.7148,0.7012,0.7125,712800
PEP,27-09-1972,0.717,0.7464,0.717,0.7442,696600
PEP,28-09-1972,0.7487,0.7543,0.7487,0.7487,1204200
PEP,29-09-1972,0.7487,0.7555,0.7487,0.7543,189000
PEP,02-10-1972,0.7543,0.7555,0.7374,0.7419,891000
PEP,03-10-1972,0.7396,0.7396,0.7339,0.7385,680400
PEP,04-10-1972,0.7419,0.7464,0.7419,0.7442,1096200
PEP,05-10-1972,0.743,0.743,0.7385,0.7407,545400
PEP,06-10-1972,0.7407,0.7509,0.7385,0.7464,993600
PEP,09-10-1972,0.7464,0.7475,0.743,0.7475,459000
PEP,10-10-1972,0.7475,0.7509,0.743,0.7464,982800
PEP,11-10-1972,0.7464,0.7509,0.7419,0.7452,1166400
PEP,12-10-1972,0.7442,0.7442,0.7351,0.7351,243000
PEP,13-10-1972,0.7329,0.7329,0.7227,0.725,820800
PEP,16-10-1972,0.725,0.725,0.7193,0.7205,329400
PEP,17-10-1972,0.7205,0.7238,0.7193,0.7227,815400
PEP,18-10-1972,0.725,0.7339,0.725,0.7329,793800
PEP,19-10-1972,0.7329,0.7351,0.7295,0.7351,448200
PEP,20-10-1972,0.7351,0.7374,0.7318,0.7329,199800
PEP,23-10-1972,0.7329,0.7509,0.7329,0.7419,513000
PEP,24-10-1972,0.7419,0.7532,0.7318,0.7532,1382400
PEP,25-10-1972,0.7532,0.769,0.7509,0.7623,648000
PEP,26-10-1972,0.7645,0.7747,0.7645,0.7668,1485000
PEP,27-10-1972,0.7668,0.768,0.7555,0.7588,734400
PEP,30-10-1972,0.7588,0.7588,0.7487,0.752,291600
PEP,31-10-1972,0.752,0.7555,0.7509,0.7555,939600
PEP,01-11-1972,0.7555,0.7577,0.7509,0.7555,966600
PEP,02-11-1972,0.7555,0.7634,0.7543,0.7611,491400
PEP,03-11-1972,0.7611,0.7758,0.7588,0.7736,729000
PEP,06-11-1972,0.7736,0.7781,0.7702,0.7713,561600
PEP,08-11-1972,0.7713,0.7781,0.7702,0.7747,372600
PEP,09-11-1972,0.7747,0.7758,0.769,0.7758,837000
PEP,10-11-1972,0.7758,0.7826,0.7736,0.7736,648000
PEP,13-11-1972,0.7736,0.7793,0.7713,0.7758,270000
PEP,14-11-1972,0.7758,0.7871,0.7736,0.7861,1171800
PEP,15-11-1972,0.7861,0.7883,0.7838,0.7838,783000
PEP,16-11-1972,0.7838,0.7917,0.7815,0.7883,491400
PEP,17-11-1972,0.803,0.8222,0.803,0.8131,2052000
PEP,20-11-1972,0.8131,0.8143,0.8098,0.8131,955800
PEP,21-11-1972,0.8131,0.8131,0.7973,0.7973,1042200
PEP,22-11-1972,0.7973,0.8041,0.7962,0.7995,405000
PEP,24-11-1972,0.7995,0.803,0.7973,0.7984,145800
PEP,27-11-1972,0.7984,0.8007,0.7962,0.8007,399600
PEP,28-11-1972,0.7995,0.7995,0.7939,0.7962,361800
PEP,29-11-1972,0.795,0.795,0.7917,0.7939,772200
PEP,30-11-1972,0.7939,0.7939,0.7861,0.7883,388800
PEP,01-12-1972,0.7883,0.7917,0.7838,0.7883,864000
PEP,04-12-1972,0.7883,0.7928,0.7861,0.7906,421200
PEP,05-12-1972,0.7928,0.795,0.7928,0.795,594000
PEP,06-12-1972,0.795,0.803,0.7939,0.803,777600
PEP,07-12-1972,0.803,0.8131,0.7984,0.8131,1215000
PEP,08-12-1972,0.8131,0.8131,0.8075,0.8098,718200
PEP,11-12-1972,0.8098,0.8098,0.7984,0.8052,1495800
PEP,12-12-1972,0.8052,0.8052,0.7995,0.8007,475200
PEP,13-12-1972,0.8007,0.8007,0.7984,0.7995,199800
PEP,14-12-1972,0.7995,0.7995,0.7939,0.7962,599400
PEP,15-12-1972,0.7962,0.7995,0.7962,0.7973,761400
PEP,18-12-1972,0.7962,0.7962,0.7917,0.7962,232200
PEP,19-12-1972,0.7917,0.7917,0.7804,0.7849,793800
PEP,20-12-1972,0.7849,0.7861,0.777,0.7781,783000
PEP,21-12-1972,0.7781,0.7793,0.7657,0.768,675000
PEP,22-12-1972,0.768,0.7713,0.7657,0.7713,1366200
PEP,26-12-1972,0.7713,0.7725,0.7668,0.768,421200
PEP,27-12-1972,0.769,0.7758,0.769,0.7758,810000
PEP,29-12-1972,0.7781,0.7883,0.7781,0.7883,858600
PEP,02-01-1973,0.7894,0.795,0.7894,0.795,1296000
PEP,03-01-1973,0.7939,0.7939,0.7894,0.7894,372600
PEP,04-01-1973,0.7849,0.7849,0.7713,0.777,572400
PEP,05-01-1973,0.777,0.777,0.769,0.7725,675000
PEP,08-01-1973,0.7725,0.777,0.769,0.7758,1026000
PEP,09-01-1973,0.7725,0.7725,0.7668,0.768,280800
PEP,10-01-1973,0.7668,0.7668,0.7611,0.7623,394200
PEP,11-01-1973,0.7623,0.7804,0.7611,0.769,1927800
PEP,12-01-1973,0.7736,0.7804,0.7736,0.777,1150200
PEP,15-01-1973,0.777,0.777,0.769,0.7758,313200
PEP,16-01-1973,0.7758,0.7758,0.7668,0.7758,1074600
PEP,17-01-1973,0.7758,0.7871,0.7713,0.7871,1279800
PEP,18-01-1973,0.7871,0.7962,0.7826,0.795,399600
PEP,19-01-1973,0.795,0.7962,0.7838,0.7861,583200
PEP,22-01-1973,0.7861,0.7928,0.7804,0.7861,939600
PEP,23-01-1973,0.7871,0.7906,0.7871,0.7906,2181600
PEP,24-01-1973,0.7906,0.7939,0.7781,0.7781,1992600
PEP,26-01-1973,0.7781,0.7781,0.7668,0.7668,491400
PEP,29-01-1973,0.7668,0.7668,0.7464,0.7464,442800
PEP,30-01-1973,0.7464,0.752,0.7385,0.752,729000
PEP,31-01-1973,0.752,0.7588,0.7509,0.7543,302400
PEP,01-02-1973,0.7543,0.7588,0.7487,0.7487,545400
PEP,02-02-1973,0.7487,0.7532,0.7442,0.7532,372600
PEP,05-02-1973,0.7509,0.7509,0.7464,0.7464,210600
PEP,06-02-1973,0.7464,0.76,0.7452,0.76,928800
PEP,07-02-1973,0.76,0.7634,0.7509,0.752,513000
PEP,08-02-1973,0.752,0.76,0.7487,0.7588,459000
PEP,09-02-1973,0.7588,0.7623,0.7566,0.7588,313200
PEP,12-02-1973,0.76,0.7645,0.76,0.7611,345600
PEP,13-02-1973,0.7611,0.768,0.7566,0.76,653400
PEP,14-02-1973,0.76,0.7657,0.7532,0.7532,302400
PEP,15-02-1973,0.7532,0.7611,0.7532,0.7555,216000
PEP,16-02-1973,0.7555,0.7623,0.7543,0.7623,183600
PEP,20-02-1973,0.7634,0.7702,0.7634,0.7634,896400
PEP,21-02-1973,0.7634,0.7657,0.7577,0.7588,405000
PEP,22-02-1973,0.7588,0.7588,0.752,0.7577,367200
PEP,23-02-1973,0.7577,0.7645,0.7566,0.7566,658800
PEP,26-02-1973,0.7566,0.7623,0.7509,0.7566,561600
PEP,27-02-1973,0.7566,0.7566,0.7509,0.752,475200
PEP,28-02-1973,0.752,0.7532,0.7407,0.7464,675000
PEP,01-03-1973,0.7464,0.7555,0.7464,0.7532,847800
PEP,02-03-1973,0.7532,0.7555,0.7442,0.7532,469800
PEP,05-03-1973,0.7532,0.7577,0.7475,0.7577,507600
PEP,06-03-1973,0.7577,0.7668,0.7566,0.7668,658800
PEP,07-03-1973,0.7668,0.7804,0.7645,0.7747,712800
PEP,08-03-1973,0.7758,0.7861,0.7758,0.7826,621000
PEP,09-03-1973,0.7826,0.7861,0.7815,0.7861,534600
PEP,12-03-1973,0.7861,0.7861,0.7804,0.7804,561600
PEP,13-03-1973,0.7804,0.7871,0.7804,0.7871,1263600
PEP,14-03-1973,0.7883,0.8052,0.7883,0.8052,1036800
PEP,15-03-1973,0.8052,0.812,0.7973,0.7973,1139400
PEP,16-03-1973,0.7973,0.8007,0.7894,0.7928,561600
