Label,date,open,high,low,close,volume
TM,18-08-1976,15.8038,15.8038,15.8038,15.8038,3900
TM,19-08-1976,15.7228,15.7228,15.7228,15.7228,100
TM,20-08-1976,15.6419,15.6419,15.6419,15.6419,1600
TM,23-08-1976,15.1749,15.1749,15.1749,15.1749,200
TM,24-08-1976,15.0192,15.0192,15.0192,15.0192,1500
TM,25-08-1976,14.8697,14.8697,14.8697,14.8697,1600
TM,26-08-1976,14.8697,14.8697,14.8697,14.8697,100
TM,27-08-1976,15.4115,15.4115,15.4115,15.4115,500
TM,30-08-1976,15.1001,15.1001,15.1001,15.1001,8000
TM,31-08-1976,15.1001,15.1001,15.1001,15.1001,100
TM,01-09-1976,15.1749,15.1749,15.1749,15.1749,100
TM,02-09-1976,14.9445,14.9445,14.9445,14.9445,13000
TM,03-09-1976,14.7078,14.7078,14.7078,14.7078,100
TM,07-09-1976,14.3218,14.3218,14.3218,14.3218,6700
TM,08-09-1976,14.4027,14.4027,14.4027,14.4027,6400
TM,09-09-1976,14.3218,14.3218,14.3218,14.3218,200
TM,10-09-1976,14.5522,14.5522,14.5522,14.5522,100
TM,13-09-1976,14.2408,14.2408,14.2408,14.2408,22900
TM,14-09-1976,14.1661,14.1661,14.1661,14.1661,4500
TM,15-09-1976,14.1661,14.1661,14.1661,14.1661,6400
TM,16-09-1976,13.9357,13.9357,13.9357,13.9357,13400
TM,17-09-1976,13.9357,13.9357,13.9357,13.9357,100
TM,20-09-1976,13.9357,13.9357,13.9357,13.9357,100
TM,21-09-1976,13.9357,13.9357,13.9357,13.9357,16100
TM,22-09-1976,13.9357,13.9357,13.9357,13.9357,200
TM,23-09-1976,13.9357,13.9357,13.9357,13.9357,100
TM,24-09-1976,13.9357,13.9357,13.9357,13.9357,500
TM,27-09-1976,13.8548,13.8548,13.8548,13.8548,100
TM,28-09-1976,13.8548,13.8548,13.8548,13.8548,8800
TM,29-09-1976,14.0104,14.0104,14.0104,14.0104,4500
TM,30-09-1976,13.9357,13.9357,13.9357,13.9357,100
TM,01-10-1976,13.8548,13.8548,13.8548,13.8548,5200
TM,04-10-1976,13.8548,13.8548,13.8548,13.8548,100
TM,05-10-1976,13.9357,13.9357,13.9357,13.9357,1600
TM,06-10-1976,14.0104,14.0104,14.0104,14.0104,2000
TM,07-10-1976,14.2408,14.2408,14.2408,14.2408,1600
TM,08-10-1976,14.3218,14.3218,14.3218,14.3218,6200
TM,11-10-1976,14.2408,14.2408,14.2408,14.2408,500
TM,12-10-1976,13.9357,13.9357,13.9357,13.9357,3400
TM,13-10-1976,14.0104,14.0104,14.0104,14.0104,1500
TM,14-10-1976,14.0852,14.0852,14.0852,14.0852,100
TM,15-10-1976,13.9357,13.9357,13.9357,13.9357,100
TM,18-10-1976,14.4027,14.4027,14.4027,14.4027,100
TM,19-10-1976,14.0104,14.0104,14.0104,14.0104,500
TM,20-10-1976,13.9357,13.9357,13.9357,13.9357,100
TM,21-10-1976,14.2408,14.2408,14.2408,14.2408,8800
TM,22-10-1976,14.3218,14.3218,14.3218,14.3218,3000
TM,25-10-1976,14.6331,14.6331,14.6331,14.6331,3000
TM,26-10-1976,14.6331,14.6331,14.6331,14.6331,500
TM,27-10-1976,15.0192,15.0192,15.0192,15.0192,1500
TM,28-10-1976,15.3368,15.3368,15.3368,15.3368,100
TM,29-10-1976,15.1749,15.1749,15.1749,15.1749,100
TM,01-11-1976,15.1749,15.1749,15.1749,15.1749,200
TM,03-11-1976,14.7078,14.7078,14.7078,14.7078,5000
TM,04-11-1976,14.6331,14.6331,14.6331,14.6331,7000
TM,05-11-1976,14.2408,14.2408,14.2408,14.2408,500
TM,08-11-1976,14.2408,14.2408,14.2408,14.2408,1600
TM,09-11-1976,14.2408,14.2408,14.2408,14.2408,100
TM,10-11-1976,14.2408,14.2408,14.2408,14.2408,200
TM,11-11-1976,14.9445,14.9445,14.9445,14.9445,1800
TM,12-11-1976,15.3368,15.3368,15.3368,15.3368,1800
TM,15-11-1976,14.8697,14.8697,14.8697,14.8697,100
TM,16-11-1976,14.5522,14.5522,14.5522,14.5522,100
TM,17-11-1976,14.4027,14.4027,14.4027,14.4027,100
TM,18-11-1976,14.2408,14.2408,14.2408,14.2408,3700
TM,19-11-1976,14.3218,14.3218,14.3218,14.3218,500
TM,22-11-1976,14.7078,14.7078,14.7078,14.7078,100
TM,23-11-1976,14.7078,14.7078,14.7078,14.7078,2000
TM,24-11-1976,14.6331,14.6331,14.6331,14.6331,100
TM,26-11-1976,14.5522,14.5522,14.5522,14.5522,100
TM,29-11-1976,14.5522,14.5522,14.5522,14.5522,500
