Label,date,open,high,low,close,volume
VZ,21-11-1983,1.5709,1.5738,1.4596,1.5626,5020600
VZ,22-11-1983,1.5626,1.5849,1.5542,1.5571,2666704
VZ,23-11-1983,1.5571,1.5626,1.5404,1.5486,1151904
VZ,25-11-1983,1.5486,1.5515,1.5319,1.5319,1771800
VZ,28-11-1983,1.5237,1.5237,1.4848,1.4903,2367800
VZ,29-11-1983,1.4874,1.4874,1.4708,1.4737,1630400
VZ,30-11-1983,1.4737,1.4848,1.4681,1.4737,2423104
VZ,01-12-1983,1.4737,1.4848,1.4652,1.4737,6249000
VZ,02-12-1983,1.4737,1.4903,1.4625,1.4708,1763800
VZ,05-12-1983,1.4708,1.4737,1.4541,1.4541,1084304
VZ,06-12-1983,1.4541,1.4652,1.4541,1.4596,2176504
VZ,07-12-1983,1.4596,1.4848,1.4596,1.4737,4855904
VZ,08-12-1983,1.4737,1.4819,1.4708,1.4763,7360000
VZ,09-12-1983,1.4763,1.4874,1.4763,1.4792,5222400
VZ,12-12-1983,1.4792,1.4874,1.4763,1.4819,2834904
VZ,13-12-1983,1.4848,1.5097,1.4848,1.5041,6692904
VZ,14-12-1983,1.5041,1.5153,1.5041,1.5097,2520800
VZ,15-12-1983,1.5097,1.5097,1.4986,1.4986,2323400
VZ,16-12-1983,1.4986,1.5126,1.4986,1.507,2452400
VZ,19-12-1983,1.507,1.507,1.5015,1.5015,1610800
VZ,20-12-1983,1.5015,1.507,1.4903,1.493,1937400
VZ,21-12-1983,1.493,1.4986,1.4792,1.4848,1935600
VZ,22-12-1983,1.4819,1.4819,1.4652,1.4652,4871104
VZ,23-12-1983,1.4652,1.4681,1.4541,1.457,2338504
VZ,27-12-1983,1.4541,1.4541,1.4459,1.4485,3004800
VZ,28-12-1983,1.4485,1.4625,1.4485,1.4596,4580104
VZ,29-12-1983,1.4596,1.4652,1.457,1.457,2998600
VZ,30-12-1983,1.457,1.4596,1.4485,1.4514,1745104
VZ,03-01-1984,1.4596,1.4959,1.4596,1.493,1973704
VZ,04-01-1984,1.5015,1.5653,1.5015,1.5375,3632800
VZ,05-01-1984,1.5486,1.582,1.5486,1.5515,3759104
VZ,06-01-1984,1.546,1.5904,1.546,1.5793,4508104
VZ,09-01-1984,1.5793,1.5793,1.5597,1.5597,1791400
VZ,10-01-1984,1.5597,1.5653,1.5542,1.5653,1571704
VZ,11-01-1984,1.5653,1.5738,1.5653,1.5682,1258504
VZ,12-01-1984,1.5682,1.5793,1.5653,1.5793,1421304
VZ,13-01-1984,1.5875,1.6071,1.5875,1.5904,3148000
VZ,16-01-1984,1.6016,1.6349,1.6016,1.6042,2448904
VZ,17-01-1984,1.6098,1.6238,1.6098,1.6182,2151704
VZ,18-01-1984,1.6182,1.6238,1.6098,1.6238,2929200
VZ,19-01-1984,1.6238,1.632,1.6154,1.6238,1812704
VZ,20-01-1984,1.6238,1.6349,1.6238,1.6349,2088504
VZ,23-01-1984,1.6349,1.6349,1.6265,1.6265,1159800
VZ,24-01-1984,1.6265,1.6294,1.6238,1.6238,1173104
VZ,25-01-1984,1.6238,1.6349,1.6238,1.6265,1711304
VZ,26-01-1984,1.6265,1.632,1.6182,1.6182,2941600
VZ,27-01-1984,1.6182,1.6627,1.6182,1.6405,3006600
VZ,30-01-1984,1.6405,1.646,1.6265,1.6349,2378600
VZ,31-01-1984,1.6349,1.6432,1.632,1.6432,1618904
VZ,01-02-1984,1.6432,1.6572,1.632,1.6487,1755800
VZ,02-02-1984,1.6487,1.6683,1.6405,1.6627,3180904
VZ,03-02-1984,1.6627,1.671,1.6376,1.6376,2632000
VZ,06-02-1984,1.6349,1.6349,1.6209,1.6294,1496104
VZ,07-02-1984,1.6265,1.6265,1.6071,1.6265,2166000
VZ,08-02-1984,1.6209,1.6209,1.5682,1.5682,3898000
VZ,09-02-1984,1.5682,1.5849,1.5682,1.5709,2035200
VZ,10-02-1984,1.5653,1.5653,1.5486,1.5626,1963104
VZ,13-02-1984,1.5626,1.5682,1.5486,1.5597,2589400
VZ,14-02-1984,1.5597,1.5849,1.5597,1.5793,2308304
VZ,15-02-1984,1.5793,1.5904,1.5653,1.5904,3431800
VZ,16-02-1984,1.6016,1.6127,1.6016,1.6127,2198000
VZ,17-02-1984,1.6127,1.6294,1.6042,1.6127,2092104
VZ,21-02-1984,1.6127,1.6127,1.5931,1.596,901904
VZ,22-02-1984,1.596,1.5987,1.5764,1.5764,2301904
VZ,23-02-1984,1.5764,1.5793,1.5404,1.5597,3991400
VZ,24-02-1984,1.5597,1.5849,1.5542,1.582,2882904
VZ,27-02-1984,1.5793,1.5793,1.5682,1.5764,1392904
