Label,date,open,high,low,close,volume
XOM,02-01-1970,0.7186,0.7215,0.7171,0.7215,1174400
XOM,05-01-1970,0.7215,0.7331,0.72,0.7331,1881600
XOM,06-01-1970,0.7331,0.7346,0.7244,0.7316,1232000
XOM,07-01-1970,0.7316,0.7316,0.7259,0.7273,918400
XOM,08-01-1970,0.7273,0.7331,0.7244,0.7287,1075200
XOM,09-01-1970,0.7287,0.7316,0.7259,0.7316,1072000
XOM,12-01-1970,0.7316,0.7331,0.7259,0.7259,892800
XOM,13-01-1970,0.7259,0.7302,0.723,0.723,1248000
XOM,14-01-1970,0.723,0.7244,0.72,0.7244,1328000
XOM,15-01-1970,0.7244,0.7244,0.7157,0.7171,1206400
XOM,16-01-1970,0.7171,0.7215,0.7171,0.72,1100800
XOM,19-01-1970,0.72,0.7215,0.7157,0.72,700800
XOM,20-01-1970,0.72,0.7244,0.7171,0.7171,1241600
XOM,21-01-1970,0.7171,0.7215,0.7157,0.7157,841600
XOM,22-01-1970,0.7157,0.7171,0.7099,0.7114,1382400
XOM,23-01-1970,0.7114,0.7114,0.6997,0.7011,1878400
XOM,26-01-1970,0.7011,0.704,0.6982,0.7026,1043200
XOM,27-01-1970,0.6997,0.6997,0.6924,0.6982,2054400
XOM,28-01-1970,0.6982,0.6982,0.6749,0.6765,1488000
XOM,29-01-1970,0.6705,0.6705,0.6618,0.6618,1548800
XOM,30-01-1970,0.6604,0.6604,0.6517,0.6561,2172800
XOM,02-02-1970,0.6561,0.6561,0.6517,0.6517,2755200
XOM,03-02-1970,0.6517,0.6691,0.6488,0.6648,2572800
XOM,04-02-1970,0.6648,0.6662,0.6604,0.6633,2003200
XOM,05-02-1970,0.6633,0.6633,0.6604,0.6618,1676800
XOM,06-02-1970,0.6532,0.6532,0.6445,0.6458,1635200
XOM,09-02-1970,0.6458,0.6488,0.6415,0.6429,1398400
XOM,10-02-1970,0.64,0.64,0.6138,0.6197,2777600
XOM,11-02-1970,0.6197,0.624,0.6109,0.624,2316800
XOM,12-02-1970,0.6226,0.6226,0.5993,0.608,2611200
XOM,13-02-1970,0.608,0.6095,0.5993,0.6051,2380800
XOM,16-02-1970,0.5906,0.5906,0.5834,0.5863,3497600
XOM,17-02-1970,0.5863,0.5863,0.5803,0.5834,3078400
XOM,18-02-1970,0.5906,0.6197,0.5906,0.6152,4438400
XOM,19-02-1970,0.624,0.6356,0.624,0.624,3376000
XOM,20-02-1970,0.624,0.6429,0.6168,0.6415,4480000
XOM,24-02-1970,0.6415,0.6604,0.6371,0.6385,3750400
XOM,25-02-1970,0.6385,0.6502,0.6168,0.6488,4771200
XOM,26-02-1970,0.6429,0.6429,0.6269,0.6299,3705600
XOM,27-02-1970,0.6299,0.6385,0.6284,0.6284,4137600
XOM,02-03-1970,0.6284,0.6385,0.6226,0.6226,5107200
XOM,03-03-1970,0.6226,0.6255,0.6152,0.6197,5152000
XOM,04-03-1970,0.6197,0.6255,0.6197,0.6226,4838400
XOM,05-03-1970,0.6226,0.6328,0.6226,0.6284,4912000
XOM,06-03-1970,0.6255,0.6255,0.6183,0.6226,4780800
XOM,09-03-1970,0.6212,0.6212,0.6152,0.6152,7699200
XOM,10-03-1970,0.6152,0.6299,0.6109,0.6269,5878400
XOM,11-03-1970,0.6328,0.64,0.6328,0.6385,3638400
XOM,12-03-1970,0.6385,0.6385,0.6284,0.6356,2841600
XOM,13-03-1970,0.6356,0.6356,0.6299,0.6356,2582400
XOM,16-03-1970,0.6356,0.6356,0.6255,0.6342,2028800
XOM,17-03-1970,0.6342,0.6356,0.6284,0.6342,1520000
XOM,18-03-1970,0.6342,0.6488,0.6342,0.64,1958400
XOM,19-03-1970,0.64,0.6458,0.6385,0.64,1904000
XOM,20-03-1970,0.64,0.6429,0.6371,0.6429,1257600
XOM,23-03-1970,0.6429,0.6445,0.6371,0.6415,931200
XOM,24-03-1970,0.6429,0.6532,0.6429,0.6517,950400
XOM,25-03-1970,0.6532,0.6691,0.6532,0.6662,2720000
XOM,26-03-1970,0.6662,0.6705,0.6633,0.6677,1932800
XOM,30-03-1970,0.6677,0.6734,0.6648,0.672,1523200
XOM,31-03-1970,0.6705,0.6705,0.6648,0.6662,1728000
XOM,01-04-1970,0.6677,0.6705,0.6677,0.6691,1168000
XOM,02-04-1970,0.6691,0.6734,0.6662,0.6691,1664000
XOM,03-04-1970,0.6691,0.672,0.6633,0.672,1219200
XOM,06-04-1970,0.6705,0.6705,0.6633,0.6677,1100800
XOM,07-04-1970,0.6677,0.6677,0.6517,0.6546,2217600
XOM,08-04-1970,0.6546,0.6561,0.6472,0.6546,902400
XOM,09-04-1970,0.6546,0.6618,0.6546,0.6575,896000
XOM,10-04-1970,0.6575,0.6575,0.6517,0.6517,944000
XOM,13-04-1970,0.6517,0.6546,0.6502,0.6502,1081600
XOM,14-04-1970,0.6502,0.6517,0.6429,0.6502,1174400
XOM,15-04-1970,0.6502,0.6546,0.6488,0.6517,748800
XOM,16-04-1970,0.6517,0.6517,0.6429,0.6429,1577600
XOM,17-04-1970,0.6415,0.6415,0.6284,0.6299,2560000
XOM,20-04-1970,0.6284,0.6284,0.6212,0.6255,1132800
XOM,21-04-1970,0.6284,0.6328,0.6284,0.6313,1113600
XOM,22-04-1970,0.6313,0.6371,0.6284,0.6342,1212800
XOM,23-04-1970,0.6342,0.6356,0.6313,0.6342,1030400
XOM,24-04-1970,0.6342,0.6342,0.6269,0.6328,1257600
XOM,27-04-1970,0.6328,0.6429,0.6255,0.6255,1833600
XOM,28-04-1970,0.6255,0.6284,0.6197,0.624,1472000
XOM,29-04-1970,0.624,0.6328,0.6212,0.6284,1987200
XOM,30-04-1970,0.6284,0.6313,0.6212,0.624,1916800
XOM,01-05-1970,0.624,0.6313,0.6212,0.6284,902400
XOM,04-05-1970,0.6284,0.6284,0.6197,0.6255,787200
XOM,05-05-1970,0.6255,0.6269,0.6197,0.6255,1456000
XOM,06-05-1970,0.6255,0.6328,0.6212,0.6328,2384000
XOM,07-05-1970,0.6299,0.6299,0.6212,0.6226,1168000
XOM,08-05-1970,0.6226,0.624,0.6168,0.6168,1484800
XOM,11-05-1970,0.6168,0.6183,0.6123,0.6138,1078400
XOM,12-05-1970,0.6123,0.6123,0.6051,0.6109,2352000
XOM,13-05-1970,0.608,0.608,0.5979,0.6007,1571200
XOM,14-05-1970,0.6007,0.6066,0.5993,0.6036,1612800
XOM,15-05-1970,0.6036,0.6269,0.6022,0.6226,2160000
XOM,18-05-1970,0.6226,0.6299,0.6183,0.6284,1270400
XOM,19-05-1970,0.6269,0.6269,0.6152,0.6152,2076800
XOM,20-05-1970,0.6152,0.6168,0.6123,0.6138,1225600
XOM,21-05-1970,0.6123,0.6123,0.6051,0.6109,1651200
XOM,22-05-1970,0.6109,0.6183,0.6066,0.6123,1484800
XOM,25-05-1970,0.6109,0.6109,0.5964,0.5964,1648000
XOM,26-05-1970,0.5964,0.608,0.595,0.5979,2124800
XOM,27-05-1970,0.5979,0.6226,0.5979,0.6197,2323200
XOM,28-05-1970,0.624,0.6429,0.624,0.6429,3852800
XOM,29-05-1970,0.6429,0.6618,0.6356,0.6604,2012800
XOM,01-06-1970,0.6604,0.6618,0.6458,0.6618,1824000
XOM,02-06-1970,0.6618,0.6648,0.6472,0.6618,2179200
XOM,03-06-1970,0.6618,0.6618,0.6546,0.6618,1817600
XOM,04-06-1970,0.6618,0.6618,0.6472,0.6472,2028800
XOM,05-06-1970,0.6429,0.6429,0.6313,0.6342,1692800
XOM,08-06-1970,0.6342,0.6429,0.6299,0.6328,1936000
XOM,09-06-1970,0.6328,0.6385,0.6328,0.6342,739200
XOM,10-06-1970,0.6342,0.6356,0.6284,0.6299,1497600
XOM,11-06-1970,0.6299,0.6328,0.6255,0.6299,1228800
XOM,12-06-1970,0.6299,0.6342,0.6255,0.6328,688000
XOM,15-06-1970,0.6328,0.6458,0.6284,0.6342,1011200
XOM,16-06-1970,0.6342,0.6532,0.6328,0.6488,1171200
XOM,17-06-1970,0.6488,0.6561,0.6472,0.6502,947200
XOM,18-06-1970,0.6502,0.6648,0.6458,0.6575,995200
XOM,19-06-1970,0.6589,0.672,0.6589,0.6677,1436800
XOM,22-06-1970,0.6677,0.6677,0.6561,0.6662,1369600
XOM,23-06-1970,0.6662,0.6705,0.6561,0.6589,1801600
