Label,date,open,high,low,close,volume
UNH,26-03-1990,0.2581,0.2581,0.2549,0.2549,412800
UNH,27-03-1990,0.2549,0.2682,0.2549,0.2682,3913600
UNH,28-03-1990,0.2682,0.2682,0.2614,0.2614,1561600
UNH,29-03-1990,0.2682,0.2682,0.2649,0.2649,537600
UNH,30-03-1990,0.2682,0.2682,0.2614,0.2649,1756800
UNH,02-04-1990,0.2614,0.2682,0.2549,0.2682,2451200
UNH,03-04-1990,0.2717,0.2785,0.2649,0.2717,2812800
UNH,04-04-1990,0.2753,0.2785,0.2682,0.2717,4003200
UNH,05-04-1990,0.2753,0.2821,0.2753,0.2785,3961600
UNH,06-04-1990,0.2821,0.2853,0.2785,0.2821,1273600
UNH,09-04-1990,0.2821,0.2853,0.2753,0.2753,2873600
UNH,10-04-1990,0.2753,0.2785,0.2682,0.2682,2118400
UNH,11-04-1990,0.2753,0.2785,0.2717,0.2753,3440000
UNH,12-04-1990,0.2785,0.2853,0.2753,0.2853,3254400
UNH,16-04-1990,0.2853,0.2886,0.2785,0.2821,4595200
UNH,17-04-1990,0.2821,0.2886,0.2821,0.2821,7257600
UNH,18-04-1990,0.2821,0.2853,0.2785,0.2785,2291200
UNH,19-04-1990,0.2785,0.2785,0.2753,0.2785,896000
UNH,20-04-1990,0.2753,0.2785,0.2717,0.2753,1168000
UNH,23-04-1990,0.2682,0.2717,0.2649,0.2717,998400
UNH,24-04-1990,0.2717,0.2753,0.2682,0.2682,700800
UNH,25-04-1990,0.2717,0.2753,0.2717,0.2753,758400
UNH,26-04-1990,0.2753,0.2821,0.2753,0.2785,1228800
UNH,27-04-1990,0.2753,0.2785,0.2717,0.2717,1888000
UNH,30-04-1990,0.2821,0.2989,0.2785,0.2921,12281600
UNH,01-05-1990,0.2954,0.3092,0.2954,0.3057,11120000
UNH,02-05-1990,0.3057,0.3193,0.3024,0.3193,3782400
UNH,03-05-1990,0.3225,0.3225,0.3125,0.3125,5475200
UNH,04-05-1990,0.3193,0.3329,0.3193,0.3261,11257600
UNH,07-05-1990,0.3364,0.3497,0.3329,0.3465,37350400
UNH,08-05-1990,0.3497,0.36,0.3429,0.3568,15411200
UNH,09-05-1990,0.3532,0.36,0.3429,0.3497,12224000
UNH,10-05-1990,0.3497,0.3532,0.3465,0.3465,11753600
UNH,11-05-1990,0.3497,0.3568,0.3497,0.3497,10361600
UNH,14-05-1990,0.3497,0.3568,0.3497,0.3568,5904000
UNH,15-05-1990,0.3568,0.3568,0.3497,0.3568,7558400
UNH,16-05-1990,0.3568,0.3736,0.3532,0.3636,9673600
UNH,17-05-1990,0.3701,0.3701,0.3636,0.3668,12099200
UNH,18-05-1990,0.3636,0.3701,0.3636,0.3636,11516800
UNH,21-05-1990,0.3636,0.3736,0.3636,0.3736,8473600
UNH,22-05-1990,0.3804,0.3907,0.3769,0.3907,29398400
UNH,23-05-1990,0.3907,0.3973,0.3839,0.3973,21696000
UNH,24-05-1990,0.394,0.4076,0.394,0.4041,11273600
UNH,25-05-1990,0.4008,0.4041,0.3973,0.3973,13379200
UNH,29-05-1990,0.394,0.4041,0.3907,0.4041,8790400
UNH,30-05-1990,0.4008,0.4111,0.4008,0.4076,11872000
UNH,31-05-1990,0.4041,0.4212,0.4041,0.4111,10528000
UNH,01-06-1990,0.4144,0.4179,0.4076,0.4076,14604800
UNH,04-06-1990,0.4144,0.4179,0.4076,0.4144,8803200
UNH,05-06-1990,0.4212,0.4312,0.4144,0.4312,17158400
UNH,06-06-1990,0.4312,0.4312,0.4179,0.4179,12720000
UNH,07-06-1990,0.4179,0.4244,0.4008,0.4041,9024000
UNH,08-06-1990,0.4008,0.4041,0.3839,0.3839,11971200
UNH,11-06-1990,0.3839,0.3907,0.3804,0.3839,4179200
UNH,12-06-1990,0.3907,0.4008,0.3804,0.4008,4617600
UNH,13-06-1990,0.4008,0.428,0.4008,0.4212,11865600
UNH,14-06-1990,0.4244,0.4244,0.4111,0.4179,3059200
UNH,15-06-1990,0.4111,0.4179,0.4076,0.4144,3216000
UNH,18-06-1990,0.4076,0.4144,0.4041,0.4041,3872000
UNH,19-06-1990,0.4076,0.4212,0.4008,0.4212,4499200
UNH,20-06-1990,0.4212,0.4348,0.4212,0.428,12121600
UNH,21-06-1990,0.4312,0.4312,0.4144,0.4312,12384000
UNH,22-06-1990,0.4348,0.4584,0.4312,0.4451,22441600
UNH,25-06-1990,0.4483,0.4687,0.4416,0.4619,18537600
UNH,26-06-1990,0.4655,0.4655,0.4451,0.4516,11984000
UNH,27-06-1990,0.4483,0.4516,0.428,0.4416,4652800
UNH,28-06-1990,0.4383,0.4551,0.4383,0.4551,6742400
UNH,29-06-1990,0.4619,0.4687,0.4584,0.4687,2352000
UNH,02-07-1990,0.4619,0.4723,0.4551,0.4655,3568000
UNH,03-07-1990,0.4687,0.4755,0.4619,0.4755,3494400
UNH,05-07-1990,0.4755,0.4823,0.4655,0.4755,3728000
UNH,06-07-1990,0.4788,0.4788,0.4723,0.4755,1948800
UNH,09-07-1990,0.4788,0.4788,0.4619,0.4655,1372800
UNH,10-07-1990,0.4655,0.4723,0.4483,0.4516,3488000
UNH,11-07-1990,0.4483,0.4755,0.4416,0.4755,7532800
UNH,12-07-1990,0.4788,0.5198,0.4723,0.5127,10278400
UNH,13-07-1990,0.5198,0.547,0.5198,0.5231,15769600
UNH,16-07-1990,0.5266,0.5299,0.5231,0.5266,5536000
UNH,17-07-1990,0.5266,0.5299,0.506,0.5095,3900800
UNH,18-07-1990,0.506,0.5127,0.4926,0.4959,3363200
UNH,19-07-1990,0.4891,0.4891,0.4584,0.4687,9750400
UNH,20-07-1990,0.4723,0.4856,0.4687,0.4755,7068800
UNH,23-07-1990,0.4655,0.4687,0.4416,0.4584,5977600
UNH,24-07-1990,0.4584,0.4994,0.4551,0.4994,12300800
UNH,25-07-1990,0.506,0.5198,0.5027,0.5127,11206400
UNH,26-07-1990,0.5163,0.5163,0.506,0.5127,1513600
UNH,27-07-1990,0.5127,0.5127,0.5027,0.5027,4284800
UNH,30-07-1990,0.5027,0.5198,0.5027,0.5127,2748800
UNH,31-07-1990,0.5163,0.5231,0.5163,0.5163,7145600
UNH,01-08-1990,0.5198,0.5198,0.4926,0.4994,4547200
UNH,02-08-1990,0.4926,0.4926,0.4755,0.4823,3625600
UNH,03-08-1990,0.4755,0.4755,0.4008,0.4451,16796800
UNH,06-08-1990,0.4416,0.4416,0.4179,0.4348,6483200
UNH,07-08-1990,0.4755,0.4755,0.4416,0.4723,15225600
UNH,08-08-1990,0.4755,0.4788,0.4416,0.4516,35004800
UNH,09-08-1990,0.4551,0.4823,0.4516,0.4823,6044800
UNH,10-08-1990,0.4755,0.4823,0.4687,0.4755,2441600
UNH,13-08-1990,0.4723,0.506,0.4723,0.5027,5820800
UNH,14-08-1990,0.5027,0.506,0.4755,0.4755,5923200
UNH,15-08-1990,0.4856,0.4926,0.4788,0.4823,3062400
UNH,16-08-1990,0.4755,0.4856,0.4755,0.4788,4448000
UNH,17-08-1990,0.4723,0.4823,0.4723,0.4823,3884800
UNH,20-08-1990,0.4755,0.4788,0.4383,0.4584,7104000
UNH,21-08-1990,0.4516,0.4551,0.428,0.4383,5289600
