Label,date,open,high,low,close,volume
V,19-03-2008,13.8112,16.0163,12.7666,13.1148,708486000
V,20-03-2008,13.5721,15.0878,13.3469,14.9369,198985200
V,24-03-2008,15.6078,15.7145,13.6951,13.8645,149566400
V,25-03-2008,14.0734,14.9137,13.8854,14.6816,87092000
V,26-03-2008,14.5075,14.9671,14.2916,14.8464,43111600
V,27-03-2008,14.8673,15.0275,14.5423,14.6027,39829600
V,28-03-2008,14.6468,14.7257,14.4286,14.5679,24675200
V,31-03-2008,14.5539,14.735,14.4031,14.475,22157200
V,01-04-2008,14.6236,14.7814,13.9992,14.3009,60410800
V,02-04-2008,14.3427,14.4657,14.0433,14.4657,43836400
V,03-04-2008,14.3752,15.3872,14.3497,15.2039,100868000
V,04-04-2008,15.0576,15.1621,14.7977,14.9671,36394400
V,07-04-2008,15.0925,15.2735,14.8603,15.0971,28301600
V,08-04-2008,15.1342,15.8399,15.0437,15.8051,53925600
V,09-04-2008,15.8654,15.9513,15.2294,15.2712,48324400
V,10-04-2008,15.4755,15.4894,15.1133,15.3455,22372000
V,11-04-2008,15.1458,15.4987,15.1458,15.3455,26421600
V,14-04-2008,15.5474,15.6078,15.2108,15.2457,28443600
V,15-04-2008,15.4453,15.4476,14.8557,14.9369,23888000
V,16-04-2008,15.0878,15.5404,14.9857,15.3524,25136800
V,17-04-2008,15.429,15.7261,15.3223,15.5613,22459600
V,18-04-2008,15.8074,16.3522,15.5985,16.0163,104099600
V,21-04-2008,16.1788,16.8287,15.9815,16.4736,58848000
V,22-04-2008,16.7359,16.8055,16.2484,16.3134,47357600
V,23-04-2008,16.5154,16.643,16.1765,16.267,37319600
V,24-04-2008,16.527,16.9425,16.2577,16.7823,38086800
V,25-04-2008,17.6411,17.6597,17.156,17.4322,101460000
V,28-04-2008,17.6922,17.9406,17.3858,17.5553,132517200
V,29-04-2008,17.0098,18.7739,16.4805,18.7739,197308400
V,30-04-2008,18.8505,19.6861,18.818,19.3704,147543600
V,01-05-2008,19.6559,20.343,19.4749,19.8231,116395600
V,02-05-2008,20.2525,20.3105,18.8017,19.2079,136648800
V,05-05-2008,19.2312,19.8463,18.76,19.7441,70377200
V,06-05-2008,19.8207,20.4614,19.6722,20.3175,75913200
