Label,date,open,high,low,close,volume
WFC,01-06-1972,0.3606,0.3611,0.3601,0.3601,249600
WFC,02-06-1972,0.3611,0.3643,0.3611,0.3611,172800
WFC,05-06-1972,0.3611,0.3665,0.3601,0.3665,302400
WFC,06-06-1972,0.3665,0.3729,0.3655,0.3665,196800
WFC,07-06-1972,0.3665,0.3665,0.3632,0.3632,48000
WFC,08-06-1972,0.3632,0.3665,0.3622,0.3643,144000
WFC,09-06-1972,0.3643,0.3665,0.3622,0.3643,43200
WFC,12-06-1972,0.3665,0.3686,0.3665,0.3686,24000
WFC,13-06-1972,0.3676,0.3676,0.3622,0.3622,76800
WFC,14-06-1972,0.3622,0.3643,0.3622,0.3622,244800
WFC,15-06-1972,0.3643,0.3655,0.3643,0.3655,206400
WFC,16-06-1972,0.3655,0.3686,0.3655,0.3686,48000
WFC,19-06-1972,0.3665,0.3665,0.3655,0.3655,91200
WFC,20-06-1972,0.3655,0.3665,0.3655,0.3665,14400
WFC,21-06-1972,0.3665,0.3665,0.3655,0.3655,48000
WFC,22-06-1972,0.3655,0.3686,0.3643,0.3686,86400
WFC,23-06-1972,0.3707,0.3739,0.3707,0.3739,96000
WFC,26-06-1972,0.3739,0.375,0.3707,0.375,62400
WFC,27-06-1972,0.3771,0.3793,0.3771,0.3771,67200
WFC,28-06-1972,0.3804,0.3878,0.3804,0.3878,144000
WFC,29-06-1972,0.3867,0.3867,0.3867,0.3867,28800
WFC,30-06-1972,0.3878,0.392,0.3878,0.392,72000
WFC,03-07-1972,0.392,0.3984,0.392,0.3984,57600
WFC,05-07-1972,0.3984,0.3984,0.3942,0.3942,211200
WFC,06-07-1972,0.3963,0.4134,0.3963,0.4134,254400
WFC,07-07-1972,0.4134,0.4197,0.4134,0.4155,412800
WFC,10-07-1972,0.4155,0.4176,0.4134,0.4176,0
WFC,11-07-1972,0.4176,0.4187,0.4155,0.4176,2904000
WFC,12-07-1972,0.4176,0.4197,0.4176,0.4176,259200
WFC,13-07-1972,0.4176,0.4219,0.4176,0.4219,225600
WFC,14-07-1972,0.4219,0.4219,0.4187,0.4219,172800
WFC,17-07-1972,0.4219,0.4229,0.4197,0.4229,62400
WFC,18-07-1972,0.4229,0.4261,0.4209,0.424,220800
WFC,19-07-1972,0.424,0.4261,0.4219,0.4261,24000
WFC,20-07-1972,0.4261,0.4261,0.4229,0.425,76800
WFC,21-07-1972,0.425,0.4283,0.425,0.4283,5712
WFC,24-07-1972,0.4283,0.4283,0.4261,0.4272,225600
WFC,25-07-1972,0.4272,0.4325,0.4272,0.4315,278400
WFC,26-07-1972,0.4325,0.4336,0.4325,0.4336,86400
WFC,27-07-1972,0.4336,0.4336,0.4261,0.4261,518400
WFC,28-07-1972,0.4283,0.4304,0.4283,0.4294,67200
WFC,31-07-1972,0.4294,0.4294,0.4272,0.4294,86400
WFC,01-08-1972,0.4294,0.4368,0.4272,0.4347,264000
WFC,02-08-1972,0.4347,0.4411,0.4325,0.4389,211200
WFC,03-08-1972,0.4389,0.4411,0.4347,0.4411,264000
WFC,04-08-1972,0.4432,0.4474,0.4432,0.4453,681600
WFC,07-08-1972,0.4496,0.4517,0.4496,0.4506,206400
WFC,08-08-1972,0.4506,0.4506,0.4496,0.4496,547200
WFC,09-08-1972,0.4496,0.4517,0.4474,0.4474,244800
WFC,10-08-1972,0.4496,0.4517,0.4496,0.4517,153600
WFC,11-08-1972,0.4517,0.4517,0.4506,0.4517,86400
WFC,14-08-1972,0.4517,0.456,0.4517,0.4538,124800
WFC,15-08-1972,0.456,0.4602,0.456,0.4571,120000
WFC,16-08-1972,0.4602,0.4645,0.4602,0.4624,81600
WFC,17-08-1972,0.4634,0.4645,0.4634,0.4634,67200
WFC,18-08-1972,0.4688,0.4751,0.4688,0.472,321600
WFC,21-08-1972,0.472,0.474,0.472,0.474,19200
WFC,22-08-1972,0.4751,0.4815,0.4751,0.4815,350400
WFC,23-08-1972,0.4815,0.4837,0.4794,0.4837,177600
WFC,24-08-1972,0.4837,0.4858,0.4837,0.4858,72000
WFC,25-08-1972,0.4848,0.4848,0.4815,0.4826,244800
WFC,28-08-1972,0.4826,0.4837,0.4805,0.4805,81600
WFC,29-08-1972,0.4794,0.4794,0.4794,0.4794,52800
WFC,30-08-1972,0.4794,0.4805,0.4773,0.4773,91200
WFC,31-08-1972,0.4783,0.4794,0.4783,0.4783,33600
WFC,01-09-1972,0.4783,0.4805,0.4783,0.4805,48000
WFC,05-09-1972,0.4805,0.4815,0.4783,0.4783,172800
WFC,06-09-1972,0.4773,0.4773,0.4751,0.4762,100800
WFC,07-09-1972,0.474,0.474,0.4709,0.4709,33600
WFC,08-09-1972,0.4688,0.4688,0.4624,0.4677,211200
WFC,11-09-1972,0.4677,0.4688,0.4666,0.4688,33600
WFC,12-09-1972,0.4699,0.474,0.4699,0.473,139200
WFC,13-09-1972,0.473,0.4751,0.473,0.473,134400
WFC,14-09-1972,0.473,0.4751,0.473,0.473,230400
WFC,15-09-1972,0.473,0.4751,0.473,0.4751,0
WFC,18-09-1972,0.473,0.473,0.4699,0.473,91200
WFC,19-09-1972,0.473,0.473,0.473,0.473,52800
WFC,20-09-1972,0.473,0.473,0.4688,0.4688,187200
WFC,21-09-1972,0.4699,0.473,0.4699,0.473,72000
WFC,22-09-1972,0.473,0.4751,0.473,0.473,67200
WFC,25-09-1972,0.473,0.474,0.4709,0.4709,144000
WFC,26-09-1972,0.4709,0.4709,0.4655,0.4688,134400
WFC,27-09-1972,0.4666,0.4666,0.4602,0.4624,192000
WFC,28-09-1972,0.4602,0.4602,0.456,0.456,129600
WFC,29-09-1972,0.456,0.4592,0.4538,0.4581,148800
WFC,02-10-1972,0.4602,0.4645,0.4602,0.4645,72000
WFC,03-10-1972,0.4645,0.4688,0.4624,0.4666,124800
WFC,04-10-1972,0.4688,0.473,0.4688,0.473,67200
WFC,05-10-1972,0.4751,0.4783,0.4751,0.4762,432000
