Label,date,open,high,low,close,volume
WMT,25-08-1972,0.0422,0.043,0.0422,0.0428,2508800
WMT,28-08-1972,0.0428,0.0431,0.0427,0.0427,972800
WMT,29-08-1972,0.0425,0.0425,0.0422,0.0422,1945600
WMT,30-08-1972,0.0422,0.0422,0.0418,0.0422,409600
WMT,31-08-1972,0.0418,0.0418,0.0415,0.0415,870400
WMT,01-09-1972,0.0417,0.0418,0.0417,0.0418,256000
WMT,05-09-1972,0.0418,0.0418,0.0415,0.0415,563200
WMT,06-09-1972,0.0418,0.0418,0.0418,0.0418,256000
WMT,07-09-1972,0.0418,0.0418,0.0417,0.0417,1177600
WMT,08-09-1972,0.0415,0.0415,0.0414,0.0414,665600
WMT,11-09-1972,0.0417,0.0417,0.0417,0.0417,921600
WMT,12-09-1972,0.0417,0.0417,0.0417,0.0417,614400
WMT,13-09-1972,0.0417,0.0417,0.0417,0.0417,153600
WMT,14-09-1972,0.0417,0.042,0.0415,0.042,1280000
WMT,15-09-1972,0.0418,0.0418,0.0417,0.0417,512000
WMT,18-09-1972,0.0418,0.042,0.0418,0.0418,1075200
WMT,19-09-1972,0.0417,0.0417,0.0414,0.0415,3123200
WMT,20-09-1972,0.0412,0.0412,0.0412,0.0412,51200
WMT,21-09-1972,0.0409,0.0409,0.0399,0.0399,1433600
WMT,22-09-1972,0.0397,0.0397,0.0384,0.0384,870400
WMT,25-09-1972,0.0383,0.0383,0.0373,0.0373,972800
WMT,26-09-1972,0.0373,0.0373,0.037,0.0371,716800
WMT,27-09-1972,0.0368,0.0368,0.0363,0.0363,665600
WMT,28-09-1972,0.037,0.0376,0.037,0.0373,1433600
WMT,29-09-1972,0.0376,0.0378,0.0376,0.0378,256000
WMT,02-10-1972,0.0381,0.0396,0.0381,0.0396,1638400
WMT,03-10-1972,0.0399,0.0402,0.0399,0.0402,512000
WMT,04-10-1972,0.0404,0.0414,0.0404,0.041,1536000
WMT,05-10-1972,0.0408,0.0408,0.0399,0.0399,1382400
WMT,06-10-1972,0.0397,0.0397,0.0383,0.0383,9779200
WMT,09-10-1972,0.0386,0.0389,0.0386,0.0389,1280000
WMT,10-10-1972,0.0389,0.0389,0.0389,0.0389,0
WMT,11-10-1972,0.0389,0.0391,0.0386,0.0391,460800
WMT,12-10-1972,0.0389,0.0389,0.0388,0.0388,358400
WMT,13-10-1972,0.0388,0.0388,0.0388,0.0388,51200
WMT,16-10-1972,0.0386,0.0386,0.0378,0.0378,665600
WMT,17-10-1972,0.0378,0.0386,0.0375,0.0384,2457600
WMT,18-10-1972,0.0388,0.0415,0.0388,0.0412,7782400
WMT,19-10-1972,0.0412,0.0415,0.0412,0.0414,10598400
